ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
8165011	7.72e-09	4.01e-13	8.6730955	19.437215	0.8183907	FCN1	ficolin 1
7948274	7.72e-09	5.29e-13	8.6115979	19.172475	0.76043649	UBE2L6	ubiquitin conjugating enzyme E2 L6
7973564	7.72e-09	6.96e-13	8.5508647	18.911007	0.51895376	PSME1	proteasome activator subunit 1
8134435	1.13e-08	1.36e-12	-8.4018832	18.269633	-0.5856382	LMTK2	lemur tyrosine kinase 2
8177717	1.13e-08	2.02e-12	8.3144945	17.893497	0.77542368	HLA-F///HLA-B	major histocompatibility complex, class I, F///major histocompatibility complex, class I, B
8105949	1.13e-08	2.71e-12	-8.2498916	17.615505	-0.59690283	SERF1B///SERF1A	small EDRK-rich factor 1B///small EDRK-rich factor 1A
8105997	1.13e-08	2.71e-12	-8.2498916	17.615505	-0.59690283	SERF1B///SERF1A	small EDRK-rich factor 1B///small EDRK-rich factor 1A
8177658	1.13e-08	2.71e-12	-8.2498916	17.615505	-0.59690283	SERF1B///SERF1A	small EDRK-rich factor 1B///small EDRK-rich factor 1A
8179019	1.85e-08	4.99e-12	8.1141943	17.031874	0.75942393	HLA-F///HLA-B	major histocompatibility complex, class I, F///major histocompatibility complex, class I, B
8118571	2.19e-08	7.89e-12	8.0123889	16.594353	1.07326754	PSMB9	proteasome subunit beta 9
8178211	2.19e-08	7.89e-12	8.0123889	16.594353	1.07326754	PSMB9	proteasome subunit beta 9
8179495	2.19e-08	7.89e-12	8.0123889	16.594353	1.07326754	PSMB9	proteasome subunit beta 9
7965359	3.22e-08	1.27e-11	-7.9058816	16.137032	-0.62596652	ATP2B1	ATPase plasma membrane Ca2+ transporting 1
8077103	3.22e-08	1.36e-11	7.8921118	16.077942	0.73851015	TYMP	thymidine phosphorylase
7939665	3.75e-08	1.69e-11	7.8431764	15.86802	0.80600759	MDK	midkine (neurite growth-promoting factor 2)
8059081	8.57e-08	4.37e-11	-7.6309258	14.959012	-0.86331832	SLC23A3	solute carrier family 23 member 3
