ID	adj.P.Val	P.Value	t	B	logFC	Symbol
ILMN_1710315	4.00e-07	1.36e-11	-9.15442	15.999555	-2.634125	NOS1AP
ILMN_1682737	4.02e-07	2.74e-11	8.930889	15.356757	4.4301625	CHRDL2
ILMN_1791123	4.14e-07	5.48e-11	-8.710184	14.715402	-2.9019708	TMPRSS2
ILMN_1679051	4.14e-07	5.64e-11	-8.701213	14.689193	-3.1743667	PTPRR
ILMN_1701308	7.15e-07	1.22e-10	8.45871	13.976821	2.815775	COL1A1
ILMN_2136147	1.77e-06	3.89e-10	-8.095695	12.896747	-2.45945	BCAS1
ILMN_1766650	1.77e-06	4.22e-10	-8.070328	12.820689	-3.2577125	FOXA1
ILMN_1738971	2.04e-06	5.66e-10	-7.979596	12.548052	-2.2417792	USP54
ILMN_2413956	2.04e-06	6.24e-10	7.949384	12.457065	3.4160125	IGF2
ILMN_2340259	2.99e-06	1.02e-09	7.79811	11.999997	2.461175	PDE4B
ILMN_1720461	4.10e-06	1.53e-09	-7.672528	11.618742	-3.4670917	SLC17A4
ILMN_1758907	4.64e-06	1.90e-09	-7.607486	11.420661	-2.66	UGT1A6
ILMN_1678842	4.78e-06	2.22e-09	7.559652	11.274727	3.87995	THBS2
ILMN_1800713	4.78e-06	2.28e-09	-7.551718	11.250503	-3.1717333	B3GALT5
ILMN_1744211	5.08e-06	2.66e-09	-7.503686	11.103712	-3.1274292	PLA2G4F
ILMN_1788394	5.08e-06	2.77e-09	-7.491736	11.067158	-3.1628292	TTLL6
ILMN_1814296	7.42e-06	4.29e-09	-7.357959	10.657092	-3.4563083	TRPM6
ILMN_1764109	1.27e-05	7.80e-09	7.176644	10.098922	2.3400375	C1R
ILMN_1758613	1.38e-05	8.92e-09	-7.135875	9.973069	-2.4690875	RAPGEFL1
ILMN_1806561	1.56e-05	1.06e-08	-7.083037	9.809778	-2.3096792	NR1I2
ILMN_1776515	1.64e-05	1.28e-08	-7.025264	9.631016	-2.1725333	MPPE1
ILMN_2124585	1.64e-05	1.31e-08	7.020422	9.616026	2.7224083	GREM1
ILMN_1651958	1.64e-05	1.33e-08	7.014746	9.598449	3.079525	MGP
ILMN_2361920	1.64e-05	1.42e-08	-6.994489	9.535701	-2.4490958	SGK2
ILMN_1655720	1.64e-05	1.43e-08	-6.992122	9.52837	-2.0709625	CNNM4
ILMN_1757036	1.64e-05	1.45e-08	-6.988496	9.517135	-2.5747083	AQP12A
ILMN_2216815	1.95e-05	1.79e-08	-6.924683	9.319282	-2.48195	MAP7
ILMN_1725090	2.07e-05	1.98e-08	6.894955	9.227025	3.0737958	CTHRC1
ILMN_1745849	2.10e-05	2.08e-08	-6.879955	9.180458	-2.2543708	ENTPD5
ILMN_1803528	2.25e-05	2.29e-08	-6.850186	9.087997	-2.903025	LRRC31
ILMN_1716859	2.55e-05	2.69e-08	6.801619	8.93705	3.2282375	TDO2
ILMN_2206746	2.82e-05	3.09e-08	6.760134	8.808019	1.8546792	BGN
ILMN_1734653	2.82e-05	3.17e-08	6.752343	8.783778	3.5045	FNDC1
ILMN_1651282	3.02e-05	3.57e-08	-6.716956	8.673634	-2.4534542	COL17A1
ILMN_2188264	3.02e-05	3.59e-08	6.714595	8.666282	3.2114208	CYR61
ILMN_1715508	3.48e-05	4.27e-08	6.662664	8.504535	3.3548583	NNMT
ILMN_1805910	3.74e-05	4.89e-08	-6.621917	8.377543	-2.6885917	MIER3
ILMN_1811851	3.74e-05	4.97e-08	6.617036	8.362328	2.7147875	PRRX1
ILMN_1733998	3.74e-05	5.03e-08	-6.613187	8.350326	-2.7934625	DHRS9
ILMN_2041190	3.74e-05	5.10e-08	-6.609275	8.33813	-2.8124333	F2RL1
ILMN_1695157	4.13e-05	5.77e-08	-6.572045	8.222025	-3.8158208	CA4
ILMN_1692107	4.44e-05	6.38e-08	-6.541678	8.127288	-1.8703917	SUV420H1
ILMN_1740949	4.44e-05	6.50e-08	-6.53627	8.110412	-3.0189417	LRRC19
ILMN_1716309	4.95e-05	7.41e-08	6.496522	7.986354	2.7647917	EGFL6
ILMN_1722898	5.13e-05	7.86e-08	6.479119	7.932025	2.953925	SFRP2
ILMN_1738657	5.35e-05	8.38e-08	-6.459606	7.871095	-2.5350333	SATB2
ILMN_2200836	5.47e-05	8.75e-08	6.446606	7.830498	3.4491583	HSPB7
ILMN_2063168	5.54e-05	9.06e-08	-6.436077	7.797612	-2.2274	MALL
ILMN_2197381	5.54e-05	9.30e-08	-6.428335	7.773432	-1.9903125	PCK1
ILMN_1770466	5.54e-05	9.44e-08	-6.423958	7.75976	-1.9588292	ATP5G3
ILMN_1744381	5.60e-05	9.76e-08	6.413775	7.727952	3.304325	SERPINE1
ILMN_1723134	5.60e-05	9.91e-08	-6.409392	7.714261	-2.1769625	LOC650695
ILMN_2341548	6.13e-05	1.11e-07	-6.376025	7.610013	-2.0709375	MYO5B
ILMN_1815203	6.14e-05	1.13e-07	-6.370389	7.592402	-3.419875	HMGCS2
ILMN_1788118	6.19e-05	1.16e-07	-6.361959	7.566059	-1.8558042	SLC23A3
ILMN_3308183	6.60e-05	1.26e-07	6.337611	7.489969	2.8466875	SNORD113-5
ILMN_2071641	7.18e-05	1.39e-07	-6.306646	7.393184	-2.4221375	KCNK1
ILMN_2102515	7.29e-05	1.45e-07	-6.293983	7.353602	-2.3989708	PGAM4
ILMN_1707169	7.29e-05	1.46e-07	-6.291913	7.347131	-2.3137458	AGMAT
