Gene	GSE11223	GSE112366	GSE126124	GSE179285	GSE186582	GSE20881	GSE59071	GSE6731	GSE95095	Average
DPP10-AS1	-9.4474837	-0.1382761	NA	-10.5264416	-5.1924056	-4.476585	NA	NA	NA	-5.9562384
DUOX2	9.4201728	4.9541592	6.7901827	13.9713508	8.0337934	5.9343769	11.040024	NA	1.890364	7.754302974999999
BACE2	9.3149637	5.8047115	5.7941243	11.032283	7.6296545	5.112041	13.461766	NA	0.485084	7.329328499999999
PDZK1IP1	8.8305489	5.9951554	7.0509325	9.1641625	4.5237801	5.6273112	7.915766	4.8367151	-2.576058	5.70759041111111
LINC00963	8.3390084	-1.4540976	NA	15.7404732	3.8921271	3.8547616	NA	NA	NA	6.07445454
CHI3L1	8.11384	2.6361866	5.3757112	8.6176465	5.2134888	5.2101735	10.180018	2.4889069	5.606147	5.938013166666667
GCNT2	-8.1093456	-1.8661273	-5.5183394	-5.4203768	-3.8241934	-2.1259802	-8.687657	-0.7226893	-2.012771	-4.254164444444445
LCN2	8.0722907	6.9500228	6.8924035	13.4744987	7.3754506	5.4659771	11.739262	8.88057	2.086648	7.8819026
PI3	8.0267086	4.0185648	5.9733913	5.709014	3.944101	3.4412495	13.481722	3.0276824	0.182694	5.311680844444444
TTC19	-7.9727149	-0.7990992	-6.2472	-6.1857705	-5.4690743	-4.1293864	-5.356902	NA	-2.899043	-4.8823987875
BHLHE40	7.9378239	1.8473802	2.9124503	9.7071355	2.104461	5.064594	10.610251	2.9701278	NA	5.3942779624999995
RNF114	7.9322692	3.4516758	1.9676249	7.3427722	-1.2708785	3.7954815	1.458161	2.5991107	1.148503	3.1583022000000005
ZC3H12A	7.8123696	3.5146764	6.5077923	11.5802321	NA	4.4963264	10.483858	NA	-0.322669	6.296083685714286
MIR4435-2HG	7.7702894	1.6978757	NA	4.8623159	4.9923521	3.4938699	NA	NA	NA	4.563340599999999
CNTNAP2	-7.7576236	1.2946061	-3.3079881	-1.8640692	1.2107447	-2.8816162	-4.773513	-3.5222975	-2.53251	-2.6815852
ADM	7.7527367	6.3691477	6.4295941	5.5675457	6.6132915	4.4436485	7.149924	4.4971896	1.981459	5.644948533333333
CD55	7.7479353	3.2873756	3.9641957	10.3113922	6.0773623	4.1159954	15.249674	9.9364376	3.790566	7.164548233333333
TMEM98	-7.7034144	0.3476908	-3.7060327	-5.6398291	-4.039667	-6.2041088	-7.527776	NA	-2.932053	-4.675648775000001
UQCRQ	-7.6729307	2.6167032	0.7517129	-3.6691983	-0.6859207	-2.9529651	-4.354706	-1.7842682	0.097359	-1.9615793222222224
AGMAT	-7.6198939	0.6012399	-3.523171	-6.6509088	-3.530797	-4.6847063	-5.665013	NA	-6.291913	-4.6706453875000005
MNX1-AS1	-7.6078669	-1.1715343	NA	-6.6848347	-5.3614695	-3.0788902	NA	NA	NA	-4.78091912
VSIG10	-7.6077225	-1.6997049	-4.886683	-6.8411914	-5.2875984	-3.3912419	-9.305926	NA	NA	-5.574295442857143
CXCL2	7.5905133	4.116572	5.1101952	10.7342171	7.1241126	4.0344637	10.704351	8.9511771	0.863845	6.581049666666667
DAPP1	7.5756545	-2.0497706	4.6963226	10.8008883	1.2623021	4.077748	14.179135	NA	2.753742	5.412002737500001
