ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
205863_at	1.16e-120	3.45e-125	69.3585059	273.762208	10.2	S100A12	S100 calcium binding protein A12
204385_at	1.32e-98	8.47e-103	50.2078407	223.774675	7.53	KYNU	kynureninase
210663_s_at	1.32e-98	1.18e-102	50.1023581	223.451498	7.54	KYNU	kynureninase
1554914_at	1.69e-98	2.01e-102	49.9324883	222.929727	6.31	PLA2G4D	phospholipase A2 group IVD
205660_at	5.45e-98	8.08e-102	49.4906026	221.564726	8.24	OASL	2'-5'-oligoadenylate synthetase like
207602_at	1.74e-97	3.11e-101	49.0669355	220.245433	7.88	TMPRSS11D	transmembrane protease, serine 11D
216258_s_at	1.71e-96	3.55e-100	48.3077973	217.855159	6.21	SERPINB13	serpin family B member 13
243754_at	3.30e-95	7.84e-99	47.3588196	214.818526	6.75		
205513_at	2.57e-92	6.88e-96	45.3364009	208.15937	8.99	TCN1	transcobalamin 1
211906_s_at	8.83e-91	2.62e-94	44.2806483	204.577135	10.0	SERPINB4	serpin family B member 4
220528_at	3.73e-90	1.31e-93	43.821105	202.994272	7.34	VNN3	vanin 3
232220_at	3.73e-90	1.33e-93	43.8170558	202.98026	8.61	S100A7A	S100 calcium binding protein A7A
220664_at	7.78e-86	3.00e-89	41.0400242	193.094546	8.19	SPRR2C	small proline rich protein 2C (pseudogene)
232074_at	1.66e-85	6.88e-89	40.816806	192.275173	6.11	PRSS27	protease, serine 27
205783_at	2.67e-78	1.19e-81	36.5385506	175.797567	6.82	KLK13	kallikrein related peptidase 13
233687_s_at	4.73e-78	2.25e-81	36.3820339	175.165359	4.96	KLK9///KLK8	kallikrein related peptidase 9///kallikrein related peptidase 8
203127_s_at	1.04e-77	5.25e-81	36.1749251	174.325437	4.63	SPTLC2	serine palmitoyltransferase long chain base subunit 2
217315_s_at	1.38e-74	7.37e-78	34.4418032	167.143203	5.99	KLK13	kallikrein related peptidase 13
206008_at	2.70e-74	1.52e-77	34.2719376	166.424139	5.27	TGM1	transglutaminase 1
1569555_at	3.41e-74	2.02e-77	34.2052296	166.140999	7.66	GDA	guanine deaminase
214088_s_at	4.21e-74	2.63e-77	34.1444834	165.882794	4.73	FUT3	fucosyltransferase 3 (Lewis blood group)
220249_at	8.60e-74	5.62e-77	33.9675618	165.128751	5.53	HYAL4	hyaluronoglucosaminidase 4
206472_s_at	6.10e-72	4.17e-75	32.9780606	160.855137	3.69	TLE3	transducin like enhancer of split 3
210164_at	9.84e-71	7.01e-74	32.3411307	158.052673	6.17	GZMB	granzyme B
224204_x_at	9.16e-70	6.80e-73	31.8351744	155.797012	5.67	ARNTL2	aryl hydrocarbon receptor nuclear translocator like 2
202134_s_at	1.56e-69	1.20e-72	31.7089936	155.230349	5.41	WWTR1	WW domain containing transcription regulator 1
240304_s_at	7.71e-69	6.18e-72	31.3488842	153.603994	5.25	TMC5	transmembrane channel like 5
227458_at	7.96e-69	6.61e-72	31.3340522	153.536716	5.68	CD274	CD274 molecule
210138_at	3.34e-67	2.88e-70	30.5155812	149.787895	4.96	RGS20	regulator of G-protein signaling 20
206912_at	3.34e-67	2.97e-70	30.5085145	149.755215	5.69	FOXE1	forkhead box E1
220658_s_at	1.42e-66	1.30e-69	30.1921171	148.286464	5.28	ARNTL2	aryl hydrocarbon receptor nuclear translocator like 2
217388_s_at	1.64e-66	1.56e-69	30.1537741	148.10773	6.07	KYNU	kynureninase
243955_at	1.68e-66	1.66e-69	30.1405276	148.045945	5.29		
202805_s_at	1.68e-66	1.69e-69	30.1360356	148.024989	1.52	ABCC1	ATP binding cassette subfamily C member 1
207367_at	3.20e-66	3.33e-69	29.9925556	147.354459	7.59	ATP12A	ATPase H+/K+ transporting non-gastric alpha2 subunit
211362_s_at	3.54e-66	3.79e-69	29.9649596	147.225234	4.5	SERPINB13	serpin family B member 13
223278_at	4.20e-66	4.61e-69	29.9232876	147.029937	1.92	GJB2	gap junction protein beta 2
224239_at	7.10e-66	8.01e-69	29.8062572	146.480447	3.36	DEFB103A///DEFB103B	defensin beta 103A///defensin beta 103B
218810_at	1.08e-65	1.25e-68	29.7117069	146.035401	4.46	MIR6732///ZC3H12A	microRNA 6732///zinc finger CCCH-type containing 12A
209588_at	1.24e-65	1.47e-68	29.6778257	145.875682	4.88	EPHB2	EPH receptor B2
219554_at	1.24e-65	1.51e-68	29.6717434	145.846996	6.49	RHCG	Rh family C glycoprotein
227410_at	1.43e-65	1.78e-68	29.6374061	145.684974	2.81	FAM43A	family with sequence similarity 43 member A
219691_at	4.13e-65	5.27e-68	29.4098307	144.607833	5.25	SAMD9	sterile alpha motif domain containing 9
205844_at	6.88e-65	8.99e-68	29.2979211	144.076029	5.85	VNN1	vanin 1
1558549_s_at	2.50e-64	3.40e-67	29.0207704	142.752927	5.39	VNN1	vanin 1
209231_s_at	2.50e-64	3.41e-67	29.0200159	142.749313	4.0	DCTN5	dynactin subunit 5
226698_at	7.32e-64	1.02e-66	28.7928508	141.658345	5.54	FCHSD1	FCH and double SH3 domains 1
222866_s_at	1.17e-63	1.67e-66	28.6912919	141.168708	4.99	FLVCR2	feline leukemia virus subgroup C cellular receptor family member 2
225783_at	5.20e-63	7.72e-66	28.3770853	139.646377	1.63	UBE2F	ubiquitin conjugating enzyme E2 F (putative)
210038_at	5.20e-63	7.72e-66	28.376903	139.64549	5.72	PRKCQ	protein kinase C theta
209142_s_at	1.10e-62	1.67e-65	28.2195956	138.879068	1.64	UBE2G1	ubiquitin conjugating enzyme E2 G1
236840_at	4.28e-62	6.61e-65	27.9399679	137.509613	4.14	C12orf56	chromosome 12 open reading frame 56
32069_at	6.12e-62	9.62e-65	27.8638303	137.13516	1.45	N4BP1	NEDD4 binding protein 1
210589_s_at	6.36e-62	1.02e-64	27.8522046	137.077923	1.83	GBAP1	glucosylceramidase beta pseudogene 1
231948_s_at	6.63e-62	1.08e-64	27.8401811	137.018712	1.71	UBE2F	ubiquitin conjugating enzyme E2 F (putative)
216670_at	7.50e-62	1.25e-64	27.8114404	136.877107	4.33	KLK13	kallikrein related peptidase 13
204465_s_at	1.09e-61	1.84e-64	27.7328435	136.489367	5.19	INA	internexin neuronal intermediate filament protein alpha
222904_s_at	1.14e-61	1.96e-64	27.7204872	136.428344	5.0	TMC5	transmembrane channel like 5
232082_x_at	1.64e-61	2.88e-64	27.6431311	136.045907	2.28	SPRR3	small proline rich protein 3
45633_at	1.91e-61	3.41e-64	27.6090454	135.877169	1.43	GINS3	GINS complex subunit 3
210413_x_at	3.00e-61	5.43e-64	27.5153879	135.412823	7.34	SERPINB4///SERPINB3	serpin family B member 4///serpin family B member 3
202924_s_at	3.35e-61	6.16e-64	27.4901952	135.287744	4.07	PLAGL2	PLAG1 like zinc finger 2
201196_s_at	3.51e-61	6.57e-64	27.4771244	135.222819	2.11	AMD1	adenosylmethionine decarboxylase 1
238741_at	4.15e-61	7.88e-64	27.4408233	135.0424	4.62	FAM83A	family with sequence similarity 83 member A
1554406_a_at	5.01e-61	9.66e-64	27.4000156	134.839397	4.87	CLEC7A	C-type lectin domain family 7 member A
209772_s_at	6.49e-61	1.27e-63	27.3451147	134.565975	4.51	CD24	CD24 molecule
242271_at	8.00e-61	1.59e-63	27.300466	134.34335	5.17	SLC26A9	solute carrier family 26 member 9
229373_at	1.00e-60	2.03e-63	27.2521751	134.102297	5.75		
208650_s_at	1.88e-60	3.86e-63	27.1239738	133.461016	2.76	CD24	CD24 molecule
204032_at	2.37e-60	4.93e-63	-27.0753618	133.217341	-2.96	BCAR3	breast cancer anti-estrogen resistance 3
203234_at	2.47e-60	5.20e-63	27.0645263	133.162988	3.65	UPP1	uridine phosphorylase 1
231033_at	2.59e-60	5.53e-63	27.0525043	133.102667	6.51	DSC2	desmocollin 2
209800_at	4.60e-60	9.98e-63	26.935569	132.515039	3.31	KRT16	keratin 16
237296_at	8.44e-60	1.85e-62	26.8130839	131.897769	4.56		
203418_at	1.51e-59	3.37e-62	26.6953722	131.302861	4.12	CCNA2	cyclin A2
41469_at	1.67e-59	3.77e-62	26.6733407	131.191329	3.48	PI3	peptidase inhibitor 3
206653_at	1.70e-59	3.89e-62	26.6673416	131.16095	1.95	POLR3G	RNA polymerase III subunit G
209514_s_at	2.03e-59	4.70e-62	26.6299229	130.971363	4.99	RAB27A	RAB27A, member RAS oncogene family
225787_at	2.39e-59	5.60e-62	26.5955848	130.797236	1.95	UBE2F	ubiquitin conjugating enzyme E2 F (putative)
221107_at	3.62e-59	8.61e-62	26.5112565	130.369009	5.27	CHRNA9	cholinergic receptor nicotinic alpha 9 subunit
204527_at	4.66e-59	1.12e-61	26.4598235	130.107405	2.01	MYO5A	myosin VA
242458_at	5.10e-59	1.24e-61	26.439624	130.004577	3.67	RALGPS2	Ral GEF with PH domain and SH3 binding motif 2
203476_at	5.42e-59	1.34e-61	26.4252354	129.931301	1.18	TPBG	trophoblast glycoprotein
239648_at	6.61e-59	1.65e-61	26.3841924	129.722143	1.71	DCUN1D3	defective in cullin neddylation 1 domain containing 3
206166_s_at	9.17e-59	2.31e-61	26.3179617	129.384197	1.86	CLCA2	chloride channel accessory 2
1555756_a_at	9.56e-59	2.44e-61	26.3076709	129.33164	5.02	CLEC7A	C-type lectin domain family 7 member A
233504_at	1.09e-58	2.81e-61	26.2804481	129.192546	5.54	C9orf84	chromosome 9 open reading frame 84
205282_at	1.37e-58	3.58e-61	26.2331385	128.950606	3.78	LRP8	LDL receptor related protein 8
214056_at	1.39e-58	3.66e-61	26.2283839	128.926276	1.69	MCL1	BCL2 family apoptosis regulator
217272_s_at	1.59e-58	4.24e-61	26.2001687	128.781838	1.62	SERPINB13	serpin family B member 13
222981_s_at	1.85e-58	5.00e-61	26.168092	128.617515	1.44	RAB10	RAB10, member RAS oncogene family
220318_at	2.92e-58	7.97e-61	26.077477	128.152636	2.71	EPN3	epsin 3
206753_at	3.21e-58	8.85e-61	26.0570663	128.047785	3.29	RDH16	retinol dehydrogenase 16 (all-trans)
205990_s_at	4.57e-58	1.27e-60	25.9865482	127.68514	2.8	WNT5A	Wnt family member 5A
209093_s_at	5.82e-58	1.64e-60	25.9374171	127.432121	2.83	GBAP1///GBA	glucosylceramidase beta pseudogene 1///glucosylceramidase beta
227609_at	6.48e-58	1.85e-60	25.9149155	127.316142	5.35	EPSTI1	epithelial stromal interaction 1 (breast)
203740_at	6.88e-58	1.98e-60	25.9012465	127.245658	1.26	MPHOSPH6	M-phase phosphoprotein 6
222878_s_at	7.96e-58	2.31e-60	25.8711719	127.090499	4.01	OTUB2	OTU deubiquitinase, ubiquitin aldehyde binding 2
214490_at	8.51e-58	2.50e-60	25.8562281	127.013361	5.06	ARSF	arylsulfatase F
226863_at	1.02e-57	3.02e-60	25.8199441	126.825953	1.77	FAM110C	family with sequence similarity 110 member C
209773_s_at	1.99e-57	5.96e-60	25.688983	126.148193	5.3	RRM2	ribonucleotide reductase regulatory subunit M2
201695_s_at	3.81e-57	1.15e-59	25.5620584	125.489313	2.45	PNP	purine nucleoside phosphorylase
202086_at	3.85e-57	1.18e-59	25.5583828	125.470202	3.17	MX1	MX dynamin like GTPase 1
219403_s_at	5.36e-57	1.65e-59	25.493245	125.131265	6.12	HPSE	heparanase
218562_s_at	8.36e-57	2.61e-59	25.4063644	124.678378	1.84	TMEM57	transmembrane protein 57
205476_at	8.83e-57	2.78e-59	25.3940515	124.614118	6.32	CCL20	C-C motif chemokine ligand 20
231771_at	9.90e-57	3.14e-59	25.370606	124.491707	1.25	GJB6	gap junction protein beta 6
229635_at	1.74e-56	5.57e-59	25.261572	123.921538	3.65	LINC01094	long intergenic non-protein coding RNA 1094
206561_s_at	2.13e-56	6.89e-59	25.2210594	123.709312	6.98	AKR1B10	aldo-keto reductase family 1 member B10
1555167_s_at	2.35e-56	7.68e-59	25.20055	123.601796	4.59	NAMPT	nicotinamide phosphoribosyltransferase
239586_at	2.59e-56	8.53e-59	25.1806674	123.497515	5.21	FAM83A	family with sequence similarity 83 member A
1554912_at	3.49e-56	1.16e-58	25.1220084	123.189574	2.66	ESYT3	extended synaptotagmin 3
231697_s_at	4.20e-56	1.41e-58	25.0852431	122.996351	1.98	MIR21///VMP1	microRNA 21///vacuole membrane protein 1
218719_s_at	4.34e-56	1.47e-58	25.0775907	122.956111	1.65	GINS3	GINS complex subunit 3
230615_at	5.03e-56	1.72e-58	25.047728	122.799013	2.65	DUOXA2	dual oxidase maturation factor 2
204601_at	5.64e-56	1.94e-58	25.0245529	122.67702	2.59	N4BP1	NEDD4 binding protein 1
231227_at	7.08e-56	2.46e-58	24.9798382	122.441453	3.46		
210608_s_at	7.87e-56	2.76e-58	24.9583179	122.327991	2.98	FUT2	fucosyltransferase 2
235068_at	8.03e-56	2.84e-58	24.9529803	122.299841	1.71	ZDHHC21	zinc finger DHHC-type containing 21
211762_s_at	9.29e-56	3.31e-58	24.9238593	122.146194	1.41	KPNA2	karyopherin subunit alpha 2
231331_at	9.89e-56	3.55e-58	24.9104715	122.075523	4.49		
228230_at	1.64e-55	5.96e-58	24.8130095	121.560369	3.56	HELZ2	helicase with zinc finger 2
210797_s_at	1.79e-55	6.52e-58	24.7959188	121.469911	5.94	OASL	2'-5'-oligoadenylate synthetase like
228531_at	2.49e-55	9.17e-58	24.7318201	121.130322	3.54	SAMD9	sterile alpha motif domain containing 9
217739_s_at	4.23e-55	1.57e-57	24.6307096	120.593605	1.46	NAMPT	nicotinamide phosphoribosyltransferase
202976_s_at	4.36e-55	1.63e-57	-24.6237019	120.556359	-2.64	RHOBTB3	Rho related BTB domain containing 3
219956_at	5.61e-55	2.12e-57	24.5748683	120.296639	3.83	GALNT6	polypeptide N-acetylgalactosaminyltransferase 6
208023_at	6.13e-55	2.34e-57	24.5558377	120.195345	2.31	TNFRSF4	TNF receptor superfamily member 4
213696_s_at	6.13e-55	2.35e-57	24.5556146	120.194157	1.79	MED8	mediator complex subunit 8
219716_at	6.51e-55	2.51e-57	24.542727	120.125534	4.52	APOL6	apolipoprotein L6
212769_at	7.84e-55	3.05e-57	24.5065057	119.932553	3.49	TLE3	transducin like enhancer of split 3
202859_x_at	8.97e-55	3.51e-57	24.4800189	119.791332	7.11	CXCL8	C-X-C motif chemokine ligand 8
207008_at	9.28e-55	3.66e-57	24.472332	119.750331	3.51	CXCR2	C-X-C motif chemokine receptor 2
203779_s_at	1.01e-54	4.02e-57	24.4550801	119.658284	4.12	MPZL2	myelin protein zero like 2
242218_at	1.09e-54	4.37e-57	24.4391243	119.573119	4.22	PPARD	peroxisome proliferator activated receptor delta
1558525_at	2.20e-54	8.88e-57	24.3070665	118.867029	2.0	LOC101928595	uncharacterized LOC101928595
203691_at	2.52e-54	1.02e-56	24.2806629	118.725591	3.37	PI3	peptidase inhibitor 3
218454_at	2.75e-54	1.13e-56	24.262979	118.630813	1.76	PLBD1	phospholipase B domain containing 1
224376_s_at	2.93e-54	1.21e-56	24.2498895	118.560634	1.42	TGIF2-C20orf24///C20orf24	TGIF2-C20orf24 readthrough///chromosome 20 open reading frame 24
203881_s_at	3.62e-54	1.50e-56	-24.209085	118.341723	-1.04	DMD	dystrophin
201489_at	3.78e-54	1.58e-56	24.1998434	118.292113	1.77	PPIF	peptidylprolyl isomerase F
211361_s_at	4.09e-54	1.73e-56	24.183689	118.20537	2.45	SERPINB13	serpin family B member 13
214838_at	4.16e-54	1.77e-56	24.1794584	118.182648	3.32	SFT2D2	SFT2 domain containing 2
223880_x_at	5.07e-54	2.17e-56	24.1413591	117.977919	1.27	TGIF2-C20orf24///C20orf24	TGIF2-C20orf24 readthrough///chromosome 20 open reading frame 24
210834_s_at	5.46e-54	2.35e-56	24.1262901	117.896894	3.41	PTGER3	prostaglandin E receptor 3
210652_s_at	6.63e-54	2.87e-56	24.0891182	117.696902	3.2	TTC39A	tetratricopeptide repeat domain 39A
220322_at	7.89e-54	3.44e-56	24.0556038	117.516438	5.5	IL36G	interleukin 36, gamma
225083_at	8.49e-54	3.73e-56	24.0408937	117.437184	1.06	GTF3C6	general transcription factor IIIC subunit 6
220944_at	1.18e-53	5.20e-56	23.9794877	117.106052	3.95	PGLYRP4	peptidoglycan recognition protein 4
214501_s_at	1.73e-53	7.71e-56	23.9068008	116.713473	0.885	H2AFY	H2A histone family member Y
228806_at	1.84e-53	8.27e-56	-23.893822	116.643305	-1.92	RORC	RAR related orphan receptor C
202575_at	1.98e-53	8.92e-56	23.8798237	116.567601	1.74	CRABP2	cellular retinoic acid binding protein 2
