ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol
227735_s_at	1.47e-23	2.69e-28	2.20e+01	53.610926	6.62	C10orf99
227736_at	1.65e-22	6.02e-27	2.06e+01	50.668582	6.55	C10orf99
218454_at	1.86e-22	1.02e-26	2.04e+01	50.165882	2.88	PLBD1
207356_at	7.55e-22	5.52e-26	1.96e+01	48.558072	9.73	DEFB4B///DEFB4A
224209_s_at	1.51e-21	1.38e-25	1.93e+01	47.680343	5.08	GDA
209720_s_at	2.57e-21	2.82e-25	1.90e+01	46.997495	6.68	SERPINB3
224328_s_at	2.60e-21	3.33e-25	1.89e+01	46.837852	6.60	LCE3D
209719_x_at	3.79e-21	5.54e-25	1.87e+01	46.350137	7.01	SERPINB3
220664_at	6.27e-21	1.03e-24	1.84e+01	45.752871	7.10	SPRR2C
219358_s_at	3.57e-20	7.32e-24	1.77e+01	43.868428	2.73	ADAP2
210413_x_at	3.57e-20	7.58e-24	1.77e+01	43.834825	7.73	SERPINB4///SERPINB3
219403_s_at	3.57e-20	7.84e-24	1.76e+01	43.802576	4.71	HPSE
232170_at	5.46e-20	1.30e-23	1.74e+01	43.316229	8.72	S100A7A
226698_at	8.08e-20	2.07e-23	1.73e+01	42.866143	3.84	FCHSD1
204995_at	8.45e-20	2.32e-23	1.72e+01	42.755885	2.63	CDK5R1
210138_at	1.03e-19	3.01e-23	1.71e+01	42.504689	3.65	RGS20
211906_s_at	1.53e-19	4.75e-23	1.69e+01	42.062964	9.96	SERPINB4
203691_at	3.07e-19	1.01e-22	1.67e+01	41.330406	6.94	PI3
224204_x_at	4.35e-19	1.51e-22	1.65e+01	40.94237	3.19	ARNTL2
1555756_a_at	5.69e-19	2.08e-22	1.64e+01	40.631266	4.36	CLEC7A
208539_x_at	7.14e-19	2.84e-22	1.63e+01	40.331972	6.37	SPRR2B
206561_s_at	7.14e-19	2.87e-22	1.63e+01	40.319549	5.40	AKR1B10
218497_s_at	1.12e-18	4.70e-22	1.61e+01	39.842047	1.23	RNASEH1
203535_at	1.14e-18	5.00e-22	1.61e+01	39.781299	7.43	S100A9
220658_s_at	1.19e-18	5.45e-22	1.60e+01	39.698702	3.42	ARNTL2
228955_at	1.21e-18	5.77e-22	1.60e+01	39.642838	2.71	LRP8
239430_at	1.37e-18	6.87e-22	1.60e+01	39.472993	5.51	IGFL1
204465_s_at	1.37e-18	7.07e-22	1.59e+01	39.445372	2.95	INA
219722_s_at	1.37e-18	7.27e-22	1.59e+01	39.418473	3.18	GDPD3
203560_at	3.17e-18	1.74e-21	1.56e+01	38.569735	2.67	GGH
41469_at	3.27e-18	1.90e-21	1.56e+01	38.485759	7.07	PI3
211075_s_at	3.27e-18	1.92e-21	1.56e+01	38.4766	2.23	CD47
203476_at	7.65e-18	4.62e-21	1.53e+01	37.620062	1.71	TPBG
221985_at	9.99e-18	6.22e-21	-1.52e+01	37.331134	-3.02	KLHL24
225100_at	1.39e-17	8.90e-21	1.50e+01	36.981109	2.95	FBXO45
205863_at	1.51e-17	9.96e-21	1.50e+01	36.87186	6.68	S100A12
212737_at	1.68e-17	1.13e-20	1.50e+01	36.744305	2.02	GM2A
221698_s_at	1.75e-17	1.22e-20	1.49e+01	36.677445	3.40	CLEC7A
205909_at	2.27e-17	1.62e-20	1.48e+01	36.395742	2.10	POLE2
214549_x_at	2.42e-17	1.77e-20	1.48e+01	36.311736	4.07	SPRR1A
201845_s_at	4.08e-17	3.06e-20	-1.46e+01	35.777375	-1.11	RYBP
225083_at	4.19e-17	3.22e-20	1.46e+01	35.72694	1.51	GTF3C6
233687_s_at	4.90e-17	3.87e-20	1.45e+01	35.54841	3.22	KLK9///KLK8
1569144_a_at	4.90e-17	3.97e-20	1.45e+01	35.521818	2.62	CYSRT1
208650_s_at	4.90e-17	4.07e-20	1.45e+01	35.498382	3.23	CD24
209921_at	4.90e-17	4.13e-20	1.45e+01	35.48491	3.07	SLC7A11
204478_s_at	5.15e-17	4.43e-20	1.45e+01	35.415374	1.90	RABIF
220322_at	5.23e-17	4.59e-20	1.45e+01	35.380008	5.41	IL36G
221896_s_at	7.03e-17	6.30e-20	1.44e+01	35.071133	1.49	HIGD1A
35820_at	7.39e-17	6.76e-20	1.44e+01	35.002472	2.09	GM2A
214598_at	7.78e-17	7.26e-20	-1.43e+01	34.933021	-3.74	CLDN8
217678_at	8.29e-17	7.88e-20	1.43e+01	34.852399	3.18	SLC7A11
205916_at	8.65e-17	8.39e-20	1.43e+01	34.791942	5.55	S100A7
230323_s_at	1.04e-16	1.04e-19	1.42e+01	34.585726	2.83	TMEM45B
207168_s_at	1.04e-16	1.04e-19	1.42e+01	34.579995	8.54e-01	H2AFY
208651_x_at	1.04e-16	1.07e-19	1.42e+01	34.556167	2.29	CD24
212295_s_at	1.65e-16	1.72e-19	1.40e+01	34.09046	1.67	SLC7A1
1554406_a_at	1.77e-16	1.87e-19	1.40e+01	34.005793	3.10	CLEC7A
218219_s_at	1.80e-16	1.94e-19	1.40e+01	33.973311	1.41	LANCL2
226226_at	1.85e-16	2.03e-19	1.40e+01	33.925823	2.79	TMEM45B
204032_at	1.95e-16	2.22e-19	-1.40e+01	33.840557	-2.25	BCAR3
