Gene	GSE109248	GSE117239	GSE117468	GSE13355	GSE136757	GSE137218	GSE14905	GSE193128	GSE30999	Average
TYMP	18.0384706	22.36981	10.5422075	29.2939044	1.08e+01	5.53	8.29	7.84	1.93e+01	14.667154722222225
SHB	16.1273144	18.9458949	7.8413391	17.7560359	8.99	5.32	2.85	7.78	1.69e+01	11.390064922222223
PPP4R1	15.7086091	17.5051524	7.6378342	26.2924675	9.24	8.01	7.05	1.09e+01	1.56e+01	13.104895911111111
IL36A	14.7873687	9.8413993	10.183235	15.1917073	6.85	1.06e+01	4.02	1.76e+01	9.54	10.95707892222222
SERPINB4	14.6189982	44.2806483	15.8379996	49.1985595	1.49e+01	1.15e+01	1.69e+01	1.12e+01	3.12e+01	23.29291173333333
FCHSD1	14.2176237	28.7928508	11.3115299	20.1886483	1.25e+01	8.75	1.73e+01	1.66e+01	2.43e+01	17.106739188888888
EIF4EBP1	14.0274065	17.5503003	7.9594094	23.3492397	6.47	5.43	5.37	1.08e+01	1.60e+01	11.884039544444443
PYCARD	13.9807487	15.1786971	7.1365716	28.4038441	6.99	5.79	1.04e+01	1.24e+01	1.36e+01	12.653317944444446
LRRC17	-13.828384	-11.5536886	-6.602022	-16.6439221	-5.38	-3.76	-4.16	-4.69	-9.26	-8.430890744444445
MINK1	13.7937843	10.3325095	2.5379445	5.0583588	6.57	1.26	3.33	3.97	1.00e+01	6.316955233333333
PRPSAP2	13.6205569	9.5932183	4.743275	7.1874576	4.30	2.89	3.54	4.21	8.85	6.548278644444444
SESN2	13.4074054	19.3920613	8.8919625	10.2505261	6.32	4.81	4.67	3.93	1.66e+01	9.807995033333334
HSPBP1	13.3357082	14.1203741	1.1599348	13.0554467	5.84	3.24	8.10	1.94	1.25e+01	8.143495977777778
TK1	13.3348923	18.6299979	7.2744339	26.884841	1.13e+01	7.10	1.28e+01	6.48	1.55e+01	13.256018344444444
FAM110C	13.2074252	25.8199441	10.995504	24.341011	1.30e+01	9.39	4.15	1.64e+01	2.29e+01	15.578209366666666
DSG3	13.0986137	19.6862643	11.3602406	26.9119552	1.36e+01	1.17e+01	7.03	1.35e+01	1.77e+01	14.954119311111109
CARD14	13.0036172	22.7653337	4.4723399	18.454637	1.04e+01	1.54	8.17	1.42	1.96e+01	11.091769755555557
OASL	12.6267958	49.4906026	13.6880948	26.8697597	1.86e+01	8.65	1.01e+01	1.13e+01	3.44e+01	20.636139211111114
GIPC1	12.5154763	6.9774996	7.0234055	12.6510539	4.85	4.39	5.41	6.39	6.33	7.393048366666666
SPRR2C	12.3724538	41.0400242	13.0241382	37.1374482	1.35e+01	1.09e+01	1.84e+01	1.85e+01	2.91e+01	21.55267382222222
CDCA2	12.364661	18.7432631	6.6414079	16.8025086	1.27e+01	6.54	1.07e+01	6.75	1.59e+01	11.904648955555556
C17orf96	12.2298596	21.2041521	9.2781253	16.6709539	7.95	6.87e-01	4.73	1.88	1.78e+01	10.2700101
PKMYT1	12.0398807	11.7020428	3.4631946	11.2154244	7.89	1.46	5.32	2.19	9.99	7.252282499999999
AIM1L	11.973675	4.8130316	2.734707	3.4369181	1.33	2.43	-1.58	9.81e-01	4.67	3.421036855555556
ANLN	11.9448461	10.8085882	7.5106228	12.5233064	6.89	7.87	5.69	6.40	9.32	8.773040388888887
CDCA3	11.9336492	15.0678379	5.95399	17.6989148	6.42	1.72	8.54	3.96	1.38e+01	9.454932433333331
FLVCR2	11.9232267	28.6912919	9.6387413	20.9864094	1.39e+01	6.40	1.18e+01	9.85	2.47e+01	15.321074366666668
ARHGEF1	11.8991699	-1.7992559	3.9937033	-4.9129866	-1.50	1.11	-1.87	7.89e-01	-3.80	0.434403411111111
ODF3B	11.8494231	8.2153878	5.0133895	20.4435262	7.54	1.85	4.41	2.27	7.67	7.695747399999998
HM13	11.7634719	8.0916062	9.6313012	15.8113231	4.56	5.29	5.63	6.88	7.49	8.34974471111111
ARRDC1	11.6844206	8.0741481	-2.7918106	7.0727194	2.12	3.63	5.12	3.40	7.07	5.042164166666667
HERC6	11.6158063	21.9670363	10.467566	19.9078296	1.68e+01	6.12	9.92	8.46	2.12e+01	14.050915355555555
PTPRE	11.6149012	12.3767549	9.1387898	8.9127705	4.01	2.88	1.05e+01	3.43	1.06e+01	8.162579599999999
PLCD1	11.5464508	18.5560305	6.7863792	12.2546151	6.98	4.57	6.74	8.13	1.71e+01	10.295941733333333
C10orf99	11.5010578	17.1303676	10.4421132	50.2963803	1.17e+01	9.34	2.20e+01	1.57e+01	1.65e+01	18.28999098888889
PAOX	11.4903439	7.8655851	-0.9918413	8.221461	4.31	2.46	1.76	1.94	6.83	4.876172077777777
ABI3BP	-11.3488956	-8.7972763	-5.4984287	-10.4268994	-5.92	-5.96	-5.76	-1.01e+01	-7.24	-7.894611111111112
ZWINT	11.2774887	12.9862936	8.825313	19.8868585	9.90	6.79	1.01e+01	8.17	1.10e+01	10.992883755555555
CAB39L	-11.2624144	-10.1945847	-8.7514445	-13.5722024	-5.73	-6.66	-5.75	-1.15e+01	-9.31	-9.192294
