ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
209681_at	8.62e-14	3.87e-18	-18.192437	30.53604	-2.8429504	SLC19A2	solute carrier family 19 member 2
203542_s_at	3.05e-12	2.74e-16	-15.6357905	26.67976	-2.8935912	KLF9	Kruppel like factor 9
203574_at	5.57e-12	7.54e-16	-15.0728899	25.74693	-3.5795173	NFIL3	nuclear factor, interleukin 3 regulated
203140_at	5.57e-12	1.09e-15	-14.8720746	25.4062	-2.1143592	BCL6	B-cell CLL/lymphoma 6
203543_s_at	5.57e-12	1.25e-15	-14.7978807	25.27922	-2.7962997	KLF9	Kruppel like factor 9
213006_at	7.82e-12	2.11e-15	-14.5173947	24.79387	-3.0407479	CEBPD	CCAAT/enhancer binding protein delta
203725_at	1.32e-11	4.16e-15	-14.1579934	24.1594	-3.0186748	GADD45A	growth arrest and DNA damage inducible alpha
212099_at	1.35e-10	4.84e-14	-12.9156038	21.85223	-1.8763801	RHOB	ras homolog family member B
220266_s_at	3.32e-10	1.34e-13	-12.4231471	20.88635	-2.7462396	KLF4	Kruppel like factor 4
209074_s_at	3.63e-10	1.63e-13	-12.3303074	20.70086	-4.5569257	FAM107A	family with sequence similarity 107 member A
209596_at	4.79e-10	2.36e-13	12.1549071	20.34741	3.7414095	MXRA5	matrix remodeling associated 5
211581_x_at	5.37e-10	2.89e-13	12.0606073	20.15576	2.4713181	LST1	leukocyte specific transcript 1
200800_s_at	1.06e-09	6.17e-13	-11.7095132	19.43206	-2.4079637	HSPA1L///HSPA1B///HSPA1A	heat shock protein family A (Hsp70) member 1 like///heat shock protein family A (Hsp70) member 1B///heat shock protein family A (Hsp70) member 1A
212665_at	1.26e-09	7.93e-13	-11.5948981	19.19231	-1.796347	TIPARP	TCDD inducible poly(ADP-ribose) polymerase
213241_at	1.30e-09	8.75e-13	11.5499174	19.09774	2.9401628	PLXNC1	plexin C1
211430_s_at	1.52e-09	1.10e-12	11.4483643	18.88325	6.9459118	MIR8071-2///MIR8071-1///IGHV4-31///IGHM///IGHG2///IGHG1	microRNA 8071-2///microRNA 8071-1///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 2 (G2m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)
37028_at	1.52e-09	1.21e-12	-11.404887	18.791	-2.5145033	PPP1R15A	protein phosphatase 1 regulatory subunit 15A
214677_x_at	1.52e-09	1.28e-12	11.3792434	18.73647	7.0334637	IGLC1	immunoglobulin lambda constant 1
209305_s_at	1.52e-09	1.30e-12	-11.37095	18.71882	-3.1893561	GADD45B	growth arrest and DNA damage inducible beta
218880_at	1.54e-09	1.39e-12	-11.3424354	18.65805	-3.2124582	FOSL2	FOS like 2, AP-1 transcription factor subunit
202672_s_at	1.59e-09	1.50e-12	-11.3065693	18.58145	-3.1816822	ATF3	activating transcription factor 3
202431_s_at	1.78e-09	1.77e-12	-11.2325667	18.42287	-2.5519399	MYC	v-myc avian myelocytomatosis viral oncogene homolog
203932_at	1.78e-09	1.84e-12	11.2156902	18.3866	2.4300588	HLA-DMB	major histocompatibility complex, class II, DM beta
219371_s_at	2.16e-09	2.33e-12	-11.110387	18.15943	-1.5791252	KLF2	Kruppel like factor 2
209183_s_at	2.30e-09	2.58e-12	-11.0658334	18.06286	-2.1503268	C10orf10	chromosome 10 open reading frame 10
208998_at	2.55e-09	3.08e-12	10.9863973	17.89002	2.6551515	UCP2	uncoupling protein 2
210629_x_at	2.55e-09	3.09e-12	10.9854883	17.88804	1.8864145	LST1	leukocyte specific transcript 1
36711_at	2.85e-09	3.70e-12	-10.90597	17.71414	-3.9820685	MAFF	MAF bZIP transcription factor F
207574_s_at	2.85e-09	3.71e-12	-10.9045104	17.71094	-3.0348659	GADD45B	growth arrest and DNA damage inducible beta
202581_at	3.49e-09	4.74e-12	-10.7975849	17.47572	-2.6555626	HSPA1B///HSPA1A	heat shock protein family A (Hsp70) member 1B///heat shock protein family A (Hsp70) member 1A
217022_s_at	3.49e-09	4.92e-12	10.7820195	17.44134	8.2671641	IGHA2///IGHA1///IGH	immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1///immunoglobulin heavy locus
209589_s_at	3.49e-09	5.01e-12	10.7735259	17.42257	2.4793348	EPHB2	EPH receptor B2
211582_x_at	3.60e-09	5.33e-12	10.7469476	17.36377	3.1075279	LST1	leukocyte specific transcript 1
214181_x_at	3.69e-09	5.83e-12	10.7081479	17.27776	2.8396953	LST1	leukocyte specific transcript 1
221651_x_at	3.69e-09	5.88e-12	10.7040119	17.26858	5.0595569	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant
205281_s_at	3.69e-09	5.96e-12	-10.6979678	17.25516	-2.3276533	PIGA	phosphatidylinositol glycan anchor biosynthesis class A
221879_at	4.06e-09	6.74e-12	10.6450167	17.13736	2.3763625	CALML4	calmodulin like 4
215990_s_at	4.91e-09	8.37e-12	-10.5513472	16.92803	-1.6284833	BCL6	B-cell CLL/lymphoma 6
201137_s_at	6.29e-09	1.10e-11	10.433728	16.66345	1.9278568	HLA-DPB1	major histocompatibility complex, class II, DP beta 1
36829_at	7.01e-09	1.28e-11	-10.3705067	16.52045	-1.7709506	MIR6883///PER1	microRNA 6883///period circadian clock 1
202284_s_at	7.01e-09	1.29e-11	-10.3662134	16.51071	-2.241268	CDKN1A	cyclin dependent kinase inhibitor 1A
209138_x_at	7.66e-09	1.45e-11	10.3166243	16.39812	6.0897598	IGLC1	immunoglobulin lambda constant 1
221671_x_at	7.66e-09	1.48e-11	10.3084541	16.37954	5.6398955	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant
204359_at	8.59e-09	1.70e-11	10.2500504	16.24643	2.5047383	LOC100506718///FLRT2	uncharacterized LOC100506718///fibronectin leucine rich transmembrane protein 2
