Gene	GSE1919	GSE55235	GSE55457	Average
FASN	-10.944594	-4.8008275	-3.8287521	-6.524724533333333
IGK///IGKC	10.121771	10.7040119	3.7984902	8.208091033333334
IGHM	10.018843	7.6307136	3.8638004	7.171119
MMP3	9.798046	3.8626036	1.7348525	5.131834033333333
C10orf10	-9.0273	-11.0658334	-1.2872364	-7.126789933333334
MIR1908///FADS1	-8.419355	-5.3963056	-2.1150762	-5.310245599999999
IGLC1	8.341593	11.3792434	4.2799209	8.000252433333333
CYP4B1	-8.318394	-9.4507407	0.0027136	-5.922140366666667
SCD	-8.125406	-3.7012111	-4.7587846	-5.528467233333333
HSPA1L///HSPA1B///HSPA1A	-8.124125	-11.7095132	-2.4310109	-7.4215497
SKAP2///IGHG1	8.083266	1.4602448	-1.8359307	2.5691933666666666
BCL6	-7.991148	-14.8720746	-3.5815647	-8.8149291
MAOA	-7.986096	-6.5419833	-1.8949388	-5.474339366666666
H1FX	-7.894903	-6.1897759	3.326315	-3.5861213
APOD	-7.836825	-9.5310082	-2.6443787	-6.6707373
SDC4	-7.80891	-6.7036502	-2.7032577	-5.738605966666666
ITPKC	-7.747885	-4.7764231	-2.4732319	-4.99918
GUSBP11	7.727508	6.8738075	-3.2069	3.7981385000000003
SFPQ	-7.691304	-3.4474614	-3.3165859	-4.818450433333333
TK1	7.537341	5.8660687	1.8075216	5.070310433333333
TRIM14	7.425378	6.8237883	2.915422	5.721529433333334
DDIT4	-7.380021	-6.5744552	0.0837102	-4.623588666666667
ADM	-7.314795	-9.4530584	-2.6843962	-6.484083200000001
P2RY6	7.303146	4.3459333	1.7320823	4.4603872
CD52	7.166506	9.0098137	3.3078297	6.494716466666667
MT1X	-7.165349	-7.1614954	-1.8186057	-5.381816699999999
CDO1	-7.066053	-4.9751602	0.6366407	-3.8015241666666673
GADD45A	-7.049303	-14.1579934	0.1785568	-7.009579866666667
RGS19	7.04323	6.1615103	1.0415777	4.7487726666666665
SERPINA3	-7.000011	-4.2842241	-1.2068728	-4.163702633333333
CDC42EP4	-6.991282	-6.45356	-4.8813258	-6.1087226
HSPA6	-6.930181	-4.2962327	-1.1152036	-4.113872433333333
LMOD1	-6.909751	-5.0186777	-0.2972719	-4.075233533333333
RHOB	-6.892428	-12.9156038	-4.3940502	-8.067360666666666
SLC36A1	6.824602	3.2093654	-0.4761053	3.185954033333333
ZFP36L2	-6.821884	-5.9307644	-4.7990569	-5.850568433333334
CORO1A	6.758952	7.2710331	2.3810211	5.470335400000001
CD27	6.717467	3.5219993	3.6295985	4.6230216
ADH1C	-6.664501	-4.3098318	-0.3893981	-3.7879102999999996
CALB2	-6.652626	1.5966171	0.5136604	-1.5141161666666667
TF	-6.637047	-1.9786679	-2.3564816	-3.6573988333333336
SLC6A3	-6.635782	-4.4204348	-1.3995475	-4.151921433333333
ORAI2	6.57926	3.3814043	-3.759603	2.067020433333333
RBPMS	-6.52566	-7.8106116	-2.5957181	-5.643996566666666
TSC22D3	-6.524794	-3.4504103	0.4459208	-3.1764278333333333
TIMP4	-6.465223	-6.4570508	-1.0495516	-4.657275133333333
PLPP3	-6.403381	-7.4154706	-3.5355983	-5.784816633333333
CYB5A	-6.38996	-3.4215922	0.9024895	-2.9696875666666673
FOXO3	-6.382807	-7.3003338	-2.7642191	-5.4824533
CDH11	6.381935	5.4660328	2.7602633	4.869410366666666
LRRC15	6.358945	8.3289071	4.2371682	6.3083401
IGHA2///IGHA1///IGH	6.283312	10.7820195	2.5288908	6.5314074333333325
CLDN5	-6.282076	-4.1833481	-0.378203	-3.6145423666666665
MAFF	-6.271997	-10.90597	-3.8433504	-7.007105799999999
RRAD	-6.223461	-6.4523682	-0.9303069	-4.5353787
FANCC	6.185382	-0.2106688	0.698437	2.2243834000000002
UCP2	6.181175	10.9863973	3.9765405	7.0480376
GPD1	-6.178819	-1.8984382	-1.1138727	-3.0637099666666665
TYMS	6.119427	5.9611805	2.996744	5.025783833333333
IL1R1	-6.046694	-7.8792654	-5.7083415	-6.544766966666667
JCHAIN	6.015938	8.3455083	3.0885532	5.8166665
SLC6A10PB///SLC6A10P///SLC6A8	-6.009271	-3.8163922	-2.600205	-4.141956066666666
GPC3	-5.99219	-3.3708566	-0.4037683	-3.2556049666666667
HLA-DMA	5.990432	6.6894684	2.8069713	5.162290566666667
CD4	5.972369	8.1212865	-0.7901224	4.434511033333334
ZWINT	5.934036	3.4602794	1.8671565	3.753823966666667
DYRK3	-5.928263	-4.5324802	-4.1572655	-4.872669566666667
CDKN1A	-5.91264	-10.3662134	-4.811258	-7.030037133333333
NFIL3	-5.895105	-15.0728899	-5.2934647	-8.753819866666667
C2	5.880523	6.7772763	1.3939562	4.6839185
RRAS2	-5.870595	-3.8273662	-1.4678318	-3.721931
HNRNPA1	-5.865968	-7.4686577	-2.8904776	-5.408367766666667
FAM107A	-5.857049	-12.3303074	-1.7750668	-6.654141066666667
ADH1A	-5.809382	-2.9494683	-1.9104184	-3.5564229
HLA-DMB	5.801601	11.2156902	3.6963298	6.904540333333333
MXRA5	5.796265	12.1549071	3.2477909	7.066320999999999
ARHGDIB	5.781399	5.1003887	1.8402449	4.240677533333334
RAC2	5.76642	6.683895	1.8228488	4.757721266666667
AGPAT2	-5.765147	-1.8078724	-0.390508	-2.6545091333333333
COL1A2	5.723614	8.3380525	1.2092634	5.090309966666667
GADD45B	-5.712531	-11.37095	-6.8561368	-7.9798726
C6	-5.691401	-4.470213	-1.5056843	-3.8890994333333335
BLNK	5.686427	8.7018192	4.075621	6.1546224
CEMIP	5.666986	3.9292764	1.5828583	3.7263735666666666
PLIN2	-5.651764	-7.1872971	-2.4652772	-5.1014461
COL8A1	5.6342	4.0379186	4.5692646	4.7471277333333335
AGTR1	-5.600152	-5.6827591	-0.7349071	-4.0059394
SRPX	-5.591432	-4.673097	-0.380572	-3.5483670000000003
DUSP4	-5.573771	-3.9864529	-2.7831267	-4.1144502
XYLB	-5.570076	1.8490459	-1.0383778	-1.5864693
TRBC1	5.553075	7.1269646	3.6311411	5.437060233333334
ICOS	5.546046	1.262959	0.357598	2.3888676666666666
NID2	5.540245	8.6221748	2.322499	5.494972933333333
CD79A	5.502864	3.915138	2.719138	4.045713333333333
GBE1	-5.49507	-7.1456026	-1.7554578	-4.7987101333333335
MFNG	5.487409	3.8771385	2.1470942	3.8372139
APOBEC3G	5.481743	4.8476585	3.2039649	4.511122133333333
CD53	5.459577	3.9436585	2.7850167	4.062750733333334
MAP1B	-5.454777	-6.2096411	-2.9603464	-4.8749215
CEP164	-5.440557	1.4935658	-2.0775694	-2.0081868666666667
KLF9	-5.434107	-15.6357905	-5.0367531	-8.702216866666667
ATF4	-5.427805	-6.2419961	-3.0635094	-4.9111035
PPP1R15A	-5.38494	-11.404887	-4.8166402	-7.202155733333335
SCN2B	5.356669	1.012227	-2.5825172	1.2621262666666668
ACLY	-5.339481	-3.2569709	0.8902153	-2.5687455333333333
TNFSF11	5.32302	5.8248494	3.6278604	4.925243266666667
HSPB6	-5.32079	-2.0416664	-2.7611331	-3.3745298333333333
ARID5B	-5.318415	-7.6807963	-2.1816248	-5.0602787
ACACB	-5.283735	-5.6107182	-4.0356787	-4.976710633333334
REPS2	5.261218	1.4315279	-0.2422712	2.1501582333333333
ADCY1	5.26074	3.3329398	-2.5869056	2.0022580666666667
TMPPE///GLB1	5.245269	6.3110998	2.8962946	4.817554466666667
IRF8	5.234053	4.0451468	2.3488736	3.8760244666666672
ME2	5.197015	6.6277546	2.0292864	4.618018666666667
ALOX5	5.19539	5.4231019	2.4878281	4.3687733333333325
HK3	5.189388	7.8486656	1.1327699	4.723607833333333
CASP8	5.186558	4.4272034	-1.3757489	2.746004166666667
ATF3	-5.181382	-11.3065693	-3.4249737	-6.637641666666666
MIR6883///PER1	-5.179276	-10.3705067	-3.329629	-6.293137233333333
LOC100506718///FLRT2	5.177572	10.2500504	3.4307584	6.286126933333333
PTX3	-5.161146	-4.7403762	-0.2733345	-3.3916188999999997
GLRX	-5.156761	-6.251056	-1.4847365	-4.297517833333334
PLXNC1	5.142449	11.5499174	3.1479336	6.613433333333333
CXCL10	5.126621	3.2882799	3.6814678	4.0321229
LILRB4	5.118417	6.4830699	1.432013	4.344499966666667
PTPRCAP	5.111706	4.1064039	1.2331483	3.483752733333333
RAB6B	5.102639	-0.4480305	-0.8192902	1.2784394333333333
KDELR3	5.091376	7.0487782	4.471278	5.537144066666667
CSF3R	5.090278	1.9162529	-0.9565136	2.016672433333333
KIAA0101	5.078142	5.1085716	-3.2767238	2.3033299333333335
CEBPD	-5.070606	-14.5173947	-3.5500089	-7.712669866666668
CMKLR1	5.068169	5.630669	0.6403877	3.7797419
RARRES3	5.058623	5.6476337	3.3648518	4.6903695
POU2AF1	5.05625	6.0650271	3.7717222	4.9643331
ZFAND5	-5.021253	-7.8229067	-2.7198123	-5.187990666666667
IRS1	-5.014735	-2.8372454	-1.8698851	-3.2406218333333334
LIPE	-5.011823	-3.0927977	-4.2350323	-4.113217666666666
TKT	-5.009056	-1.298979	-4.3469822	-3.5516723999999997
AQP3	5.001114	1.5598053	1.9092838	2.8234010333333335
WASF3	-4.993429	-7.1449849	-2.2810958	-4.806503233333333
PPIC	4.986961	5.5928954	1.5497764	4.0432109333333335
ADH1B	-4.974557	-7.5774733	-1.7490741	-4.7670348
HEBP2	-4.970464	-1.9083097	0.0130948	-2.288559633333333
SPCS2	4.959959	2.6948581	4.6176039	4.090806999999999
LAIR1	4.955482	5.9438623	2.5580491	4.485797799999999
GDF7	4.95463	0.4056581	1.3641971	2.241495066666667
IL10RA	4.953557	6.1874551	3.7466489	4.962553666666667
AOX1	-4.949494	-6.1266455	0.1499009	-3.6420795333333333
GSN	-4.949219	-4.0438551	-8.8487144	-5.947262833333333
MTHFD2	-4.943166	-8.3356954	-2.0498323	-5.109564566666667
YBX3	-4.93023	-7.15869	-3.3508169	-5.146578966666667
MAST4	-4.914245	-3.6965438	-3.5197136	-4.0435008
CBLB	-4.904839	-7.5740703	-4.0395586	-5.506155966666667
SELPLG	4.90363	7.1890912	1.5071251	4.5332821
PLXNB1	-4.902641	-2.0196764	-2.5696728	-3.163996733333333
MR1	4.892822	3.6140169	2.2323689	3.579735933333333
RHD///RHCE	4.892744	1.3906325	2.8057164	3.0296976333333334
G0S2	-4.891737	-0.8339696	-0.665729	-2.130478533333333
FSTL3	-4.874234	-4.3092953	-3.2566482	-4.146725833333334
HSP90AB1	-4.871013	-4.1992939	-1.9866678	-3.6856582333333328
MICB	4.867641	2.5835575	1.5266641	2.9926208666666665
LOC101060835///HLA-DQB1	4.866876	8.5481807	4.0075342	5.807530300000001
WNT5A	4.860496	4.7266798	3.2756546	4.287610133333334
VAMP8	4.847168	3.9289711	3.8878546	4.221331233333333
VDR	4.844002	6.329565	-2.0093796	3.0547291333333333
UBD///GABBR1	4.841624	2.6796095	4.0871229	3.869452133333334
TGFBR3	-4.839292	-6.6653982	-0.7615281	-4.088739433333333
ALDH1L1	-4.836073	-1.051129	-2.3830355	-2.7567458333333335
MAPKAPK3	4.833793	3.8132439	-2.7539324	1.9643681666666666
EIF4G1	-4.825685	-2.5595726	-6.4373142	-4.607523933333334
NID1	-4.816346	-4.8138502	-2.2618553	-3.964017166666667
ST6GAL1	4.814477	4.6321979	-4.4513449	1.6651100000000005
GABARAPL1	-4.814101	-8.8522767	-6.0431801	-6.569852600000001
CA4	-4.811389	-1.7831595	-4.1254797	-3.5733427333333334
LCK	4.804093	5.0010954	4.2597162	4.688301533333333
FCGR1CP///FCGR1B///FCGR1A	4.801979	6.6890169	2.5868712	4.692622366666668
ITGB2	4.800477	6.4343294	3.7019496	4.978918666666666
STAT1	4.797848	4.3570493	3.6165894	4.257162233333333
INSIG1	-4.780254	-3.5953361	-3.9897854	-4.121791833333334
FOSL2	-4.77864	-11.3424354	-6.2582677	-7.459781033333333
MARCKS	4.773364	9.5441044	-3.1176886	3.7332599333333327
ADAM8	4.763162	-1.6319871	-2.4422388	0.22964536666666677
EHBP1	-4.743197	-2.9132208	-3.5456208	-3.7340128666666668
AVPR1A	-4.737573	-1.6146508	-2.3841433	-2.9121223666666665
PPARG	-4.737263	-3.9376273	-1.0348138	-3.236568033333333
VEGFC	4.728671	4.9688884	1.3046326	3.667397333333333
IFRD1	-4.726842	-6.7863805	-1.9319763	-4.481732933333334
ANGPTL7	-4.724605	-8.5843264	-1.7493269	-5.019419433333334
CCL5	4.723413	6.1713361	2.7865375	4.560428866666666
INPP5D	4.723003	6.765225	2.1447852	4.544337733333333
LST1	4.719905	12.0606073	2.6007296	6.460413966666667
AOC3	-4.716763	-3.500607	-1.7378878	-3.3184192666666665
ZBTB16	-4.71625	-9.2702453	-2.1685385	-5.385011266666666
