ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
204439_at	1.40e-11	6.28e-16	9.3093357	25.245906	3.80992734	IFI44L	interferon induced protein 44 like
214453_s_at	2.13e-11	1.91e-15	9.1073129	24.20229	2.58591033	IFI44	interferon induced protein 44
203236_s_at	1.44e-09	1.94e-13	8.260029	19.869681	1.19825228	LGALS9	galectin 9
202145_at	2.91e-09	5.24e-13	8.0748792	18.935602	2.30453172	LY6E	lymphocyte antigen 6 complex, locus E
218400_at	3.19e-09	7.17e-13	8.016138	18.640429	2.09770174	OAS3	2'-5'-oligoadenylate synthetase 3
219519_s_at	3.50e-09	9.43e-13	7.9647024	18.382455	5.35508133	SIGLEC1	sialic acid binding Ig like lectin 1
202446_s_at	6.40e-09	2.01e-12	7.8221358	17.669917	1.56418909	PLSCR1	phospholipid scramblase 1
202086_at	5.71e-08	2.05e-11	7.3804129	15.488151	2.12274386	MX1	MX dynamin like GTPase 1
205552_s_at	1.64e-07	6.62e-11	7.1543821	14.388923	1.68783236	OAS1	2'-5'-oligoadenylate synthetase 1
219211_at	1.73e-07	7.80e-11	7.1224088	14.23447	2.35553805	USP18	ubiquitin specific peptidase 18
204994_at	3.91e-07	1.93e-10	6.9448792	13.381844	1.37749809	MX2	MX dynamin like GTPase 2
201315_x_at	4.10e-07	2.21e-10	6.918535	13.256061	0.99551214	IFITM2	interferon induced transmembrane protein 2
216177_at	6.40e-07	3.74e-10	-6.8145736	12.761628	-1.11100683		
222154_s_at	7.57e-07	4.77e-10	6.7665518	12.53431	1.61715083	SPATS2L	spermatogenesis associated serine rich 2 like
217933_s_at	1.12e-06	7.87e-10	6.6667268	12.064011	1.2156793	LAP3	leucine aminopeptidase 3
214594_x_at	1.12e-06	8.06e-10	-6.6617143	12.040477	-1.56215307	ATP8B1	ATPase phospholipid transporting 8B1
205483_s_at	1.53e-06	1.17e-09	6.5866287	11.688894	2.07704959	ISG15	ISG15 ubiquitin-like modifier
209053_s_at	1.82e-06	1.55e-09	6.5302607	11.426143	2.27906307	WHSC1	Wolf-Hirschhorn syndrome candidate 1
201786_s_at	1.82e-06	1.55e-09	6.5299534	11.424714	0.76103341	ADAR	adenosine deaminase, RNA specific
217092_x_at	2.48e-06	2.23e-09	-6.4567764	11.085175	-0.79436738		
216913_s_at	2.61e-06	2.47e-09	6.4362787	10.990387	2.02972331	RRP12	ribosomal RNA processing 12 homolog
202671_s_at	2.80e-06	2.77e-09	6.4131652	10.883674	0.96781414	PDXK	pyridoxal (pyridoxine, vitamin B6) kinase
204747_at	3.00e-06	3.10e-09	6.3898015	10.775992	2.36943602	IFIT3	interferon induced protein with tetratricopeptide repeats 3
217142_at	3.14e-06	3.38e-09	-6.372162	10.694816	-1.52252145		
200815_s_at	5.11e-06	5.75e-09	6.2636133	10.197681	0.68592686	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1
213293_s_at	5.66e-06	6.84e-09	6.2278353	10.034744	0.76042741	TRIM22	tripartite motif containing 22
219863_at	5.66e-06	7.09e-09	6.2204121	10.000996	1.80008508	HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5
217995_at	5.66e-06	7.13e-09	6.2192316	9.995631	0.83520191	SQRDL	sulfide quinone reductase-like (yeast)
