ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol
225929_s_at	1.43e-31	2.61e-36	19.8889697	71.621169	1.2423635	RNF213
235276_at	2.68e-31	9.81e-36	19.5581931	70.343725	2.6438976	EPSTI1
204439_at	6.03e-31	3.31e-35	19.2573302	69.169428	2.9051813	IFI44L
227609_at	1.76e-30	1.29e-34	18.9248623	67.857957	1.981218	EPSTI1
214453_s_at	1.29e-29	1.18e-33	18.3881704	65.710047	2.1630323	IFI44
221778_at	2.46e-29	2.70e-33	18.190644	64.909872	1.3016488	KDM7A
213797_at	1.58e-28	2.03e-32	17.7131137	62.953842	2.5427626	RSAD2
209049_s_at	5.13e-28	7.51e-32	17.4068145	61.683087	1.3472645	ZMYND8
223220_s_at	2.38e-27	3.92e-31	17.0237676	60.076167	1.3487736	PARP9
214059_at	3.90e-27	7.14e-31	16.8860236	59.493492	2.0386782	IFI44
238091_at	1.42e-26	2.86e-30	-16.5687235	58.141565	-1.4553794	LOC100506388
213261_at	7.09e-26	1.56e-29	16.1860576	56.49317	1.5752249	TRANK1
225504_at	2.03e-25	4.82e-29	15.9327484	55.391241	1.475721	HMBOX1
224568_x_at	7.48e-25	1.92e-28	15.6258924	54.044965	1.2996235	MALAT1
211738_x_at	1.97e-24	5.39e-28	-15.3974328	53.034577	-1.0538959	CELA3A
226555_at	2.15e-24	6.28e-28	15.3640638	52.886427	1.2796382	INO80D
214179_s_at	2.32e-24	7.22e-28	15.333306	52.74974	1.0411045	NFE2L1
218400_at	2.46e-24	8.10e-28	15.3080469	52.637397	2.1827549	OAS3
206133_at	3.99e-24	1.39e-27	15.1905755	52.113839	1.8170204	XAF1
229839_at	1.43e-23	5.24e-27	-14.9007397	50.814431	-1.749028	SCARA5
224806_at	1.63e-23	6.26e-27	14.8620607	50.640207	1.925395	TRIM25
242497_at	2.93e-23	1.18e-26	14.7247714	50.020267	1.1608843	TRAFD1
217502_at	4.77e-23	2.01e-26	14.6102591	49.50135	3.2016742	IFIT2
226702_at	7.34e-23	3.22e-26	14.5084196	49.038473	1.7204558	CMPK2
244740_at	1.65e-22	7.64e-26	-14.3233559	48.194015	-1.7435587	
202814_s_at	1.65e-22	7.84e-26	14.3177921	48.168561	0.9284123	HEXIM1
222816_s_at	2.96e-22	1.46e-25	14.1850238	47.560033	2.8660498	ZCCHC2
202181_at	2.99e-22	1.53e-25	14.174753	47.512867	1.0768805	SUSD6
1564705_at	4.32e-22	2.29e-25	-14.0891943	47.11947	-1.0774241	GLS2
227304_at	7.53e-22	4.13e-25	13.9638329	46.541461	1.0528256	SMCR8
204747_at	1.04e-21	5.89e-25	13.8887769	46.194495	3.2165729	IFIT3
202446_s_at	1.54e-21	8.99e-25	13.7993964	45.780436	1.7514984	PLSCR1
217346_at	1.85e-21	1.11e-24	-13.7541791	45.570605	-1.133011	
202086_at	3.75e-21	2.33e-24	13.5986097	44.846862	1.5709163	MX1
202864_s_at	3.97e-21	2.54e-24	13.5806753	44.763247	1.5000533	SP100
215493_x_at	4.32e-21	2.85e-24	13.5568137	44.65194	1.4499453	BTN2A1
219863_at	4.83e-21	3.27e-24	13.5276648	44.515881	1.8678523	HERC5
1552427_at	6.43e-21	4.47e-24	-13.4620249	44.209136	-2.1724395	ZNF485
242625_at	9.30e-21	6.63e-24	13.3795689	43.823114	2.3360315	RSAD2
239668_at	1.41e-20	1.03e-23	-13.2876329	43.391812	-2.2499732	
213579_s_at	1.65e-20	1.24e-23	13.2488924	43.209785	1.2708267	EP300
AFFX-HUMISGF3A/M97935_MB_at	1.81e-20	1.42e-23	13.2202194	43.074955	1.9789264	STAT1
235643_at	1.81e-20	1.42e-23	13.2201972	43.074851	2.6708526	SAMD9L
1561336_at	2.10e-20	1.69e-23	-13.1841652	42.905288	-2.480346	DNASE1L3
203944_x_at	3.05e-20	2.51e-23	13.1020016	42.518106	1.3774163	BTN2A1
214736_s_at	5.07e-20	4.26e-23	12.9921062	41.999103	1.1592325	ADD1
1562313_at	5.14e-20	4.45e-23	-12.9830747	41.956393	-2.3671149	BCORP1
212547_at	5.14e-20	4.52e-23	12.9798532	41.941156	0.8564279	BRD3
