ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol
ILMN_2058782	3.18e-47	7.25e-52	1.61e+01	106.6450154	5.47	IFI27
ILMN_1657871	3.66e-44	1.67e-48	1.55e+01	99.0388264	3.67	RSAD2
ILMN_1723912	5.95e-41	4.08e-45	1.49e+01	91.376254	3.57	IFI44L
ILMN_1739428	9.60e-41	8.76e-45	1.48e+01	90.6248812	1.84	IFIT2
ILMN_1760062	6.10e-40	6.96e-44	1.46e+01	88.5897071	2.58	IFI44
ILMN_2388547	1.20e-39	1.65e-43	1.45e+01	87.7443727	2.34	EPSTI1
ILMN_1805750	2.52e-39	4.03e-43	1.45e+01	86.8654298	2.24	IFITM3
ILMN_1707695	2.78e-39	5.08e-43	1.45e+01	86.6379239	2.76	IFIT1
ILMN_1701789	7.92e-38	1.63e-41	1.42e+01	83.2321902	2.48	IFIT3
ILMN_2347798	1.82e-37	4.17e-41	1.41e+01	82.3091769	2.40	IFI6
ILMN_1729749	6.55e-37	1.64e-40	1.40e+01	80.9612548	2.36	HERC5
ILMN_1835092	9.42e-37	2.58e-40	1.39e+01	80.5181681	3.21	IFI44L
ILMN_1731224	2.31e-36	6.86e-40	1.38e+01	79.5581329	1.41	PARP9
ILMN_2141482	3.84e-36	1.23e-39	-1.38e+01	78.9871081	-3.00e-01	SERPINF1
ILMN_1664543	2.40e-35	8.21e-39	1.36e+01	77.1205269	2.78	IFIT3
ILMN_1674811	6.68e-35	2.44e-38	1.35e+01	76.0509693	2.39	OASL
ILMN_1785732	1.20e-33	4.65e-37	1.33e+01	73.157458	1.80	TNFAIP6
ILMN_1745242	1.48e-33	6.07e-37	1.32e+01	72.8954582	1.85	PLSCR1
ILMN_1706502	1.22e-32	5.31e-36	1.31e+01	70.7679319	1.64	EIF2AK2
ILMN_2239754	1.51e-32	6.92e-36	1.30e+01	70.5080188	2.28	IFIT3
ILMN_1745397	1.52e-32	7.29e-36	1.30e+01	70.4558104	2.51	OAS3
ILMN_1662358	1.62e-32	8.14e-36	1.30e+01	70.3474861	1.90	MX1
ILMN_1765994	2.61e-32	1.37e-35	1.30e+01	69.8372531	1.75	ZBP1
ILMN_3243928	3.31e-32	1.81e-35	1.29e+01	69.5627729	1.53	DDX60L
ILMN_1787509	1.36e-31	7.79e-35	1.28e+01	68.1312443	1.38	HELZ2
ILMN_1785646	3.91e-31	2.32e-34	-1.27e+01	67.0593738	-5.01e-01	PMP22
ILMN_2410826	5.49e-31	3.39e-34	1.27e+01	66.6884843	2.43	OAS1
ILMN_1742618	5.49e-31	3.51e-34	1.27e+01	66.6545601	1.91	XAF1
ILMN_1691364	7.73e-31	5.11e-34	1.26e+01	66.2841733	1.04	STAT1
ILMN_1779252	2.52e-30	1.73e-33	1.25e+01	65.0906425	1.37	TRIM22
ILMN_1747903	3.19e-30	2.26e-33	-1.25e+01	64.8273697	-1.38e-01	DNAJC11
ILMN_1689734	2.61e-29	1.91e-32	1.23e+01	62.7326313	1.46	IL1RN
ILMN_1730284	4.92e-29	3.71e-32	-1.22e+01	62.0813019	-2.85e-01	DSC1
ILMN_2231928	3.46e-28	2.68e-31	1.21e+01	60.1400879	1.17	MX2
ILMN_3241446	4.29e-28	3.43e-31	1.20e+01	59.8985321	1.21	ODF3B
ILMN_2178775	8.67e-28	7.13e-31	-1.20e+01	59.1814249	-2.20e-01	ZNF585B
ILMN_1753342	2.40e-27	2.03e-30	1.19e+01	58.155413	7.41e-01	SAT1
ILMN_1751886	1.00e-26	8.69e-30	1.17e+01	56.7286823	1.05	REC8
ILMN_1662488	2.57e-26	2.28e-29	-1.16e+01	55.780805	-5.82e-02	MED23
ILMN_2209551	2.62e-26	2.40e-29	-1.16e+01	55.7337529	-1.45e-01	
ILMN_1681721	3.18e-26	2.98e-29	1.16e+01	55.5213295	1.95	OASL
ILMN_1783621	5.41e-26	5.19e-29	1.16e+01	54.9767925	2.13	CMPK2
ILMN_1758418	5.89e-26	5.78e-29	1.15e+01	54.8701354	1.12	TNFSF13B
ILMN_1762725	7.60e-26	7.64e-29	-1.15e+01	54.5974561	-9.19e-01	EIF3L
ILMN_2054019	1.02e-25	1.04e-28	1.15e+01	54.2908765	2.45	ISG15
ILMN_1731418	1.38e-25	1.44e-28	1.15e+01	53.9725321	8.35e-01	SP110
ILMN_2053527	2.23e-25	2.44e-28	1.14e+01	53.459745	1.30	PARP9
ILMN_1716815	2.23e-25	2.44e-28	1.14e+01	53.4590291	1.49	CEACAM1
ILMN_1797895	2.60e-25	2.91e-28	1.14e+01	53.2864535	1.10	FFAR2
ILMN_2139100	3.71e-25	4.24e-28	1.13e+01	52.9180869	9.90e-01	SHISA5
ILMN_1696654	4.50e-25	5.24e-28	1.13e+01	52.7096496	1.79	IFIT5
ILMN_1673352	7.28e-25	8.64e-28	1.13e+01	52.2196615	6.06e-01	IFITM2
ILMN_2044471	7.41e-25	8.97e-28	-1.13e+01	52.1829683	-1.23	NCR3
ILMN_1788118	8.76e-25	1.08e-27	-1.13e+01	52.0001226	-1.65e-01	SLC23A3
ILMN_1798181	9.55e-25	1.20e-27	1.12e+01	51.8977795	1.46	IRF7
ILMN_1812070	1.05e-24	1.35e-27	-1.12e+01	51.7831626	-1.04	ABCB1
ILMN_3253787	1.05e-24	1.36e-27	1.12e+01	51.7733362	1.49	
ILMN_1801246	1.76e-24	2.34e-27	1.12e+01	51.2447943	1.03	IFITM1
