ID	adj.P.Val	P.Value	t	B	logFC	GeneSymbol
10346_at	0.0000427	1.73e-09	7.0723119	11.11002	0.8722778	TRIM22
6383_at	0.0002803	2.27e-08	-6.4193788	8.79458	-0.55182205	SDC2
199746_at	0.0005005	6.07e-08	-6.1672861	7.90659	-0.46485357	U2AF1L4
83666_at	0.0006276	1.02e-07	6.0349856	7.44282	1.01236825	PARP9
55022_at	0.0010267	2.08e-07	-5.8499066	6.79727	-0.48067258	PID1
8355_at	0.0014802	3.90e-07	5.6858598	6.22878	1.56530939	HIST1H3G
91351_at	0.0014802	4.19e-07	5.6668281	6.16308	0.93369504	DDX60L
51673_at	0.0022941	7.42e-07	-5.5166837	5.64678	-0.60216777	TPPP3
94240_at	0.0027294	9.93e-07	5.4396837	5.38348	1.58435908	EPSTI1
115004_at	0.0030837	1.25e-06	5.3794002	5.1781	0.53404599	MB21D1
10184_at	0.0035108	1.56e-06	5.3195512	4.9749	0.71993759	LHFPL2
65057_at	0.0041223	2.39e-06	-5.2060613	4.59156	-0.31049306	ACD
6272_at	0.0041223	2.48e-06	5.1962003	4.55838	0.88865247	SORT1
57562_at	0.0041223	2.57e-06	-5.1867769	4.52669	-0.48449999	CEP126
57125_at	0.0041223	2.65e-06	-5.1775921	4.49583	-0.77851393	PLXDC1
7153_at	0.0041223	2.67e-06	5.1763311	4.49159	0.83085328	TOP2A
129607_at	0.0043866	3.32e-06	5.1171347	4.29313	1.69870095	CMPK2
104326052_at	0.0043866	3.57e-06	5.097362	4.22702	1.93101853	NRIR
219285_at	0.0043866	3.71e-06	5.0872522	4.19325	0.93408106	SAMD9L
259266_at	0.0043866	3.80e-06	5.0808561	4.1719	0.83025639	ASPM
5359_at	0.0043866	3.84e-06	5.0781251	4.16279	1.10190967	PLSCR1
374470_at	0.0043866	3.90e-06	-5.0736999	4.14802	-0.29391777	C12orf42
91543_at	0.0044268	4.20e-06	5.0540065	4.08238	1.91629903	RSAD2
4317_at	0.0044268	4.30e-06	5.0476652	4.06126	2.50916047	MMP8
100506649_at	0.0049315	5.08e-06	-5.0019958	3.90945	-0.33184989	PXN-AS1
8398_at	0.0049315	5.18e-06	-4.9966194	3.89161	-0.32120374	PLA2G6
6241_at	0.0050724	5.66e-06	4.972812	3.81271	1.15572476	RRM2
1844_at	0.0050724	5.74e-06	-4.9687702	3.79933	-0.42941564	DUSP2
57282_at	0.0053696	6.30e-06	-4.9436635	3.71631	-0.53613585	SLC4A10
6672_at	0.0054089	6.65e-06	4.9287085	3.66693	0.63706025	SP100
5610_at	0.0054089	6.78e-06	4.9234462	3.64957	1.17297877	EIF2AK2
84930_at	0.0054307	7.03e-06	4.9136604	3.6173	0.53359415	MASTL
59345_at	0.0058037	7.87e-06	4.8826697	3.51528	0.64684849	GNB4
