Gene	GSE100163	GSE110169	GSE110174	GSE11907-96	GSE11907-97	GSE121239	GSE138458	GSE17755	GSE185047	GSE22098	GSE29536	GSE49454	GSE65391	GSE72326	GSE8650-96	GSE8650-97	GSE88884-1	GSE88884-2	GSE99967	GSE108497	Average
IFI27	10.450593	13.7103525	4.8896792	4.9307724	NA	4.5072003	3.1343698	NA	7.0204671	9.62	NA	9.1708423	1.61e+01	9.1481483	7.8370686	NA	6.279422439	10.44615255	4.803476	19.5733227751777	8.851366704011106
XAF1	8.717159	13.2814623	3.6089098	2.8319842	3.508706	4.3978046	2.686966	NA	15.1905755	9.15	16.3277	7.6652068	1.27e+01	7.62242	2.3397876	5.216636	6.685797553	10.14928632	3.5968192	17.7955029126	8.077511778189473
IFI44L	8.573755	14.765441	4.1996838	9.3093357	NA	5.1354064	2.2695255	NA	19.2573302	1.24e+01	19.649073	8.3370775	1.49e+01	8.331244	8.3797787	NA	7.165764298	10.07691687	4.5045937	20.682959273473	10.46693440832194
RSAD2	8.463376	14.5822969	4.75231	5.7851323	4.661968	5.5638728	3.2693636	NA	17.7131137	1.19e+01	20.220282	8.4638376	1.55e+01	8.4387411	6.2069168	7.009067	7.694427694	10.46060729	5.0540065	20.3867392880689	9.79610834589836
MX1	8.18438	11.3182771	4.7984553	7.3804129	NA	4.8951443	1.2359545	0.913479	13.5986097	8.76	15.640523	6.7409453	1.30e+01	6.6509143	7.9463174	NA	6.161908058	9.534956334	4.2131675	19.5752362975042	8.363815610528011
IRF9	8.09246	9.2719788	4.7334693	2.9932078	NA	2.415182	1.2603208	NA	7.0333766	5.34	8.030995	5.6309823	1.05e+01	5.5221578	3.8310411	NA	NA	NA	2.7217483	15.4083311864817	6.185683399098782
OASL	8.049009	12.7642148	4.5463718	5.2320718	NA	5.296608	2.324161	12.709218	12.3976009	9.76	16.308165	8.416862	1.35e+01	8.451078	6.382168	NA	6.910965929	10.71709367	3.8139072	21.550718924637	9.396123001313164
LY6E	8.025126	12.7008847	4.4862443	8.0748792	NA	4.3256035	2.7198993	0.542983	9.5506037	8.27	16.885275	7.0887719	1.11e+01	7.043222	7.8328294	NA	6.504209152	8.058074235	2.787834	19.5614933535978	8.086551818922098
SAMD9L	8.001869	10.9430414	5.4953427	NA	3.956122	5.4829663	1.7928218	NA	13.2201972	8.56	14.909185	8.5037455	1.11e+01	8.3558186	NA	5.005689	7.158424117	10.13977637	5.0872522	19.8908299330152	8.682534183530306
REC8	7.976723	6.8259319	3.0313223	1.1029536	0.470697	4.3512048	2.8849984	1.057813	5.9925577	4.23	9.193257	5.5751706	1.17e+01	5.4903898	3.6882052	1.398101	5.989789467	6.178705515	3.2380861	14.2547202449859	5.231531331349295
IFI44	7.934554	13.5351307	4.7228027	9.1073129	NA	4.3705645	3.3101284	5.874089	18.3881704	1.11e+01	19.604214	8.5801862	1.46e+01	8.5329151	9.4152999	NA	7.108826746	10.12377981	4.5157672	17.5597536954176	9.910194180634312
EPSTI1	7.923202	13.8175379	4.4112033	NA	5.73893	4.8290208	2.2891431	NA	19.5581931	1.20e+01	17.354907	8.8921434	1.45e+01	8.8127332	NA	7.994164	7.206438414	10.95174214	5.4396837	20.2106521601822	10.113511424363658
HELZ2	7.834086	NA	4.0924327	NA	5.26088	7.240026	3.9920588	NA	6.6727557	7.28	16.556584	6.5573237	1.28e+01	6.4229777	NA	8.470651	5.848991393	6.496217467	3.0630263	19.852300349799	8.027519444362438
IFIT3	7.83348	13.3963395	4.7516208	6.3898015	4.6075	6.3225317	3.3527617	12.588252	13.8887769	9.96	18.258051	7.9821832	1.42e+01	7.8686989	6.3316705	6.855177	6.854365651	11.2977226	4.4780352	17.5848433469673	9.240090574898364
IFIT1	7.676278	13.2643899	4.5918166	6.0746989	NA	4.5357966	2.7676939	NA	9.6144136	1.10e+01	16.720426	7.6751802	1.45e+01	7.6685513	5.1903166	NA	6.463213359	9.720871795	3.7535937	18.939223757261	8.832733188897706
IRF7	7.675048	12.3270662	4.0837884	5.8972538	NA	6.8502198	3.2723579	4.179911	3.7091462	8.49	13.577924	6.5171784	1.12e+01	6.5104698	6.3621176	NA	5.844644607	7.810565828	2.9277086	19.0268890032307	7.57012717434615
HERC5	7.53739	13.5647152	4.4434276	6.2204121	NA	5.4834873	2.3787689	15.905422	13.5276648	9.64	16.853263	7.7602368	1.40e+01	7.6913551	7.2765094	NA	6.913249102	9.44967928	4.6929603	20.3095139494337	9.647114157301873
IFI6	7.532046	14.9466385	3.9239386	5.2275331	NA	0.760074	-3.7233959	4.615838	5.5562367	8.16	8.987644	8.6216657	1.41e+01	8.5741635	6.0869117	NA	6.969648013	10.97454915	3.5104887	20.0203674430195	7.491352622556637
