Gene	# of interactions	# of interactions with differentially expressed genes	Proportion of interactions with differentially expressed genes	Diff. expression component	# of interactions with genes with disease-associated mutations	Proportion of interactions with genes with disease-associated mutations	Mutations component	% of genes` expression in lypmh nodes and leukocytes	Expression in tissues component	Localization component	TABT	% from top
OR2H2	101	0	0.0	-1.0	18	0.1782178217821782	37.54243514926311	0.0	-1.0	1	35.54243514926311	0.0
IFI6	340	79	0.2323529411764706	26.789176605601337	12	0.03529411764705882	6.632913627599167	0.283888635326335	1.4907620569578957	1	34.9128522901584	0.005619871866921434
IFI27L1	101	29	0.2871287128712871	33.340303462994	1	0.009900990099009901	1.1412463971812843	0.04938271604938271	-0.5667294139339646	1	33.91482044624132	0.011239743733842868
OAS1	505	91	0.1801980198019802	20.551500794016928	21	0.041584158415841586	7.9932348681613945	0.5939440993788819	4.211104787574123	1	32.75584044975244	0.0168596156007643
RTP4	400	83	0.2075	23.816789993989545	8	0.02	3.3253177223061945	0.294358135731807	1.582618620131969	1	28.724726336427707	0.022479487467685737
OR2B3	59	1	0.01694915254237288	1.0271014902176472	8	0.13559322033898305	28.324187947838602	0	-1.0	1	28.35128943805625	0.028099359334607173
MR1	90	5	0.05555555555555555	5.644388217935621	9	0.1	20.626588611530973	0.3	1.632118810351165	1	27.90309563981776	0.0337192312015286
OR13C2	14	0	0.0	-1.0	2	0.14285714285714285	29.895126587901384	0.0	-1.0	1	27.895126587901384	0.03933910306845004
IFI35	474	92	0.1940928270042194	22.21330567278774	12	0.02531645569620253	4.4750857244382205	0.1873589164785553	0.6438364278340609	1	27.332227825060023	0.044958974935371473
NMI	314	58	0.18471337579617833	21.091532801034358	8	0.025477707006369428	4.5099588819187195	0.2924281984334204	1.5656858725790297	1	27.167177555532106	0.05057884680229291
IFI27L2	154	33	0.21428571428571427	24.62835455489454	2	0.012987012987012988	1.808647871627399	0.12219451371571072	0.07210159357611877	1	26.509104020098057	0.056198718669214345
IFITM2	343	65	0.18950437317784258	21.664531239022384	6	0.01749271137026239	2.7830767250491495	0.2864003492687186	1.5127991553377926	1	25.960407119409325	0.061818590536135774
HLA-F	341	41	0.12023460410557185	13.379936964329879	17	0.04985337243401759	9.78158376527937	0.375	2.290148512938957	1	25.451669242548206	0.0674384624030572
BTN3A3	247	32	0.12955465587044535	14.494605722797239	10	0.04048582995951417	7.7557038913080865	0.40487804878048783	2.552290426977996	1	24.802600041083323	0.07305833426997864
GBP3	344	64	0.18604651162790697	21.25097449727278	6	0.01744186046511628	2.77207940898796	0.15683147262094632	0.37599689713555523	1	24.399050803396293	0.07867820613690008
IFNA5	172	32	0.18604651162790697	21.25097449727278	4	0.023255813953488372	4.029439211983947	0.0	-1.0	1	24.280413709256727	0.08429807800382151
IFNL1	335	46	0.1373134328358209	15.422547595375208	10	0.029850746268656716	5.45569809299432	0.5	3.386864683918609	1	24.265110372288134	0.08991794987074295
IFITM10	151	32	0.2119205298013245	24.345480884310714	1	0.006622516556291391	0.432224411359667	0.02158273381294965	-0.8106389345071103	1	23.96706636116327	0.09553782173766438
IFNA21	264	45	0.17045454545454544	19.386191123211564	8	0.030303030303030304	5.553511700463932	0.0	-1.0	1	23.939702823675496	0.10115769360458582
IFI27	433	72	0.16628175519630484	18.887129631511698	12	0.02771362586605081	4.993511855389645	0.06844522195495298	-0.3994801460456924	1	23.48116134085565	0.10677756547150725
GBP5	598	82	0.13712374581939799	15.399861220188924	10	0.016722408026755852	2.6164863898881223	0.7142857142857142	5.2669495484551545	1	23.2832971585322	0.11239743733842869
TMEM140	157	29	0.18471337579617833	21.091532801034358	2	0.012738853503184714	1.7549794409593595	0.16083916083916083	0.4111592689528391	1	23.257671510946558	0.11801730920535011
LY6G6F	184	5	0.02717391304347826	2.249972497903293	13	0.07065217391304347	14.279654997277316	0.851063829787234	6.467003717308271	1	22.99663121248888	0.12363718107227155
IFNL3	321	46	0.14330218068535824	16.138795777104967	13	0.040498442367601244	7.758431524919085	0.0	-1.0	1	22.897227302024053	0.12925705293919298
IFNA4	180	29	0.16111111111111112	18.268725832013303	5	0.027777777777777776	5.00738572542527	0	-1.0	1	22.276111557438572	0.1348769248061144
GBP4	467	73	0.15631691648822268	17.69534500721072	9	0.019271948608137045	3.1678650429074677	0.24332810047095763	1.134894901122086	1	21.998104951240272	0.14049679667303586
LY6E	381	64	0.1679790026246719	19.090118706199046	5	0.013123359580052493	1.8381349883898912	0.20668896321070235	0.8134330265295654	1	21.7416867211185	0.14611666853995728
IFNA17	278	43	0.15467625899280577	17.49912403123083	8	0.02877697841726619	5.223478737131216	0	-1.0	1	21.722602768362048	0.15173654040687873
IRGM	468	60	0.1282051282051282	14.333203579851432	13	0.027777777777777776	5.00738572542527	0.3846153846153846	2.3745112953220064	1	21.71510060059871	0.15735641227380015
IFITM1	554	77	0.13898916967509026	15.622964025376845	16	0.02888086642599278	5.245946169395227	0.18911091804228208	0.6592080154062274	1	21.5281182101783	0.1629762841407216
IFNL2	253	39	0.1541501976284585	17.436207624469592	7	0.02766798418972332	4.983641117814893	0.0	-1.0	1	21.419848742284486	0.16859615600764302
IFITM3	493	75	0.15212981744421908	17.194572199215195	12	0.02434077079107505	4.264078363861494	0.09643446263164573	-0.15391012313712912	1	21.30474043993956	0.17421602787456447
PLSCR1	499	82	0.16432865731462926	18.653541101549052	7	0.014028056112224449	2.033789985585507	0.1518375241779497	0.3321813450197709	1	21.01951243215433	0.1798358997414859
HLA-B	731	61	0.08344733242134063	8.980216502453231	35	0.047879616963064295	9.354727789378714	0.404912622409782	2.5525937666446867	1	20.887538058476633	0.18545577160840732
IFNLR1	330	45	0.13636363636363635	15.308952898569252	9	0.02727272727272727	4.898160530417537	0.18518518518518517	0.6247646977476328	1	20.831878126734424	0.19107564347532877
GBP1	651	91	0.13978494623655913	15.71813809674124	16	0.02457757296466974	4.315290595767981	0.20140515222482436	0.7670742989086667	1	20.800502991417886	0.1966955153422502
TAPBP	478	46	0.09623430962343096	10.509526034415678	22	0.04602510460251046	8.953660030411745	0.2503217503217503	1.196255292206356	1	20.659441357033778	0.20231538720917164
PXK	317	4	0.012618296529968454	0.5091354942945259	30	0.0946372239747634	19.46680310239524	0.16570327552986513	0.45383569486319986	1	20.429774291552967	0.20793525907609306
IFNAR2	421	53	0.12589073634204276	14.056404655369555	11	0.026128266033254157	4.650652606338258	0.25848142164781907	1.2678460401517848	1	19.974903301859598	0.2135551309430145
GBP2	685	86	0.12554744525547445	14.015347388853053	20	0.029197080291970802	5.314332441322912	0.16599516518936341	0.45639665574090793	1	19.786076485916873	0.21917500280993593
RSAD2	658	90	0.13677811550151975	15.358524183975238	10	0.015197568389057751	2.2867155944575943	0.3386316516931583	1.9710624673394863	1	19.616302245772317	0.22479487467685738
GBP7	263	42	0.1596958174904943	18.09945814737388	4	0.015209125475285171	2.2892149979514786	0.01098901098901099	-0.9035853915622284	1	19.485087753763132	0.2304147465437788
HLA-C	619	49	0.0791599353796446	8.467448155443002	28	0.045234248788368334	8.782624896976852	0.3686530473849284	2.234462068383831	1	19.484535120803685	0.23603461841070023
HLA-DMB	434	27	0.06221198156682028	6.4404900320661564	23	0.052995391705069124	10.461095347124708	0.38666666666666666	2.392508688897057	1	19.294094068087922	0.24165449027762168
TRIM14	402	56	0.13930348258706468	15.660555531540068	3	0.007462686567164179	0.6139245232485799	0.43924466338259444	2.8538138027856412	1	19.12829385757429	0.2472743621445431
TAP1	470	46	0.09787234042553192	10.705432860533392	16	0.03404255319148936	6.362242931585012	0.3472222222222222	2.0464338082768117	1	19.114109600395217	0.25289423401146455
OR13C9	20	0	0.0	-1.0	2	0.1	20.626588611530973	0.0	-1.0	1	18.626588611530973	0.25851410587838597
HLA-DOB	404	15	0.03712871287128713	3.4405564822837067	23	0.05693069306930693	11.312166783792385	0.5542168674698795	3.862548806271229	1	18.61527207234732	0.2641339777453074
IFNA6	175	28	0.16	18.135838067654593	2	0.011428571428571429	1.471610127032111	0.0	-1.0	1	18.607448194686704	0.2697538496122288
IL15RA	467	57	0.12205567451820129	13.59773514261659	13	0.027837259100642397	5.020249506421897	0.11257639112254746	-0.012285211082976383	1	18.60569943795551	0.2753737214791503
LILRA4	348	12	0.034482758620689655	3.1241030318221092	19	0.05459770114942529	10.807620218939325	0.630252100840336	4.5296613662839595	1	18.461384617045393	0.2809935933460717
HLA-G	529	36	0.06805293005671077	7.139061559966507	20	0.03780718336483932	7.176404011920972	0.5708333333333334	4.00833718080708	1	18.323802752694558	0.28661346521299313
BST2	633	77	0.12164296998420221	13.548376098039132	16	0.02527646129541864	4.466436299913042	0.11508220157255182	0.0097000916524603	1	18.024512489604632	0.29223333707991456
HLA-E	584	47	0.08047945205479452	8.625261014338246	25	0.04280821917808219	8.257957453566341	0.2355059416636658	1.0662653966746631	1	17.94948386457925	0.29785320894683603
IFNA10	139	17	0.1223021582733813	13.62721435027554	4	0.02877697841726619	5.223478737131216	0	-1.0	1	17.850693087406757	0.30347308081375746
MICB	370	13	0.03513513513513514	3.20212660269442	20	0.05405405405405406	10.69004789812485	0.5522827687776141	3.845579547774604	1	17.737754048593875	0.3090929526806789
XKR6	279	3	0.010752688172043012	0.2860106228262494	23	0.08243727598566308	16.82837053997177	0.17341040462427745	0.5214559597405579	1	17.635837122538575	0.3147128245476003
HLA-DQA2	537	23	0.04283054003724395	4.122489240643104	32	0.0595903165735568	11.887352617672088	0.2770497940846125	1.4307599147134185	1	17.44060177302861	0.3203326964145217
LST1	318	12	0.03773584905660377	3.513169355578912	14	0.0440251572327044	8.521139640296655	0.7274590163934426	5.382528536029123	1	17.41683753190469	0.3259525682814432
HLA-DQA1	744	41	0.05510752688172043	5.5908044419845275	39	0.05241935483870968	10.336518223786397	0.24902170046246885	1.1848490065763257	1	17.11217167234725	0.3315724401483646
IL12RB1	580	25	0.04310344827586207	4.155128789777637	26	0.04482758620689655	8.694677653444918	0.5745062836624776	4.040562652976499	1	16.890369096199056	0.33719231201528604
SLFN12L	155	22	0.14193548387096774	15.975340221306492	2	0.012903225806451613	1.7905275627781898	0	-1.0	1	16.765867784084683	0.34281218388220747
HLA-DQB2	428	13	0.030373831775700934	2.632679539712466	27	0.0630841121495327	12.642941413816265	0.27314814814814814	1.3965279291777584	1	16.672148882706487	0.34843205574912894
NKG7	648	31	0.047839506172839504	4.721556521000117	20	0.030864197530864196	5.6748730282503	0.8259605271298646	6.246754133553601	1	16.64318368280402	0.35405192761605037
KIR3DL2	289	7	0.02422145328719723	1.8968612991691638	12	0.04152249134948097	7.979898385410784	0.8849557522123892	6.764362272422315	1	16.641121957002262	0.3596717994829718
CLEC4E	568	38	0.06690140845070422	7.001340741316839	15	0.02640845070422535	4.711246992481771	0.6591639871382636	4.783326432175658	1	16.495914165974266	0.3652916713498932
TNFSF4	571	17	0.0297723292469352	2.560740446039054	32	0.05604203152364273	11.119979607162717	0.4120443740095087	2.6151658250993286	1	16.2958858783011	0.37091154321681463
CLEC4A	622	30	0.04823151125401929	4.768439931969831	20	0.03215434083601286	5.95388701335401	0.7442748091603054	5.530065750871212	1	16.252392696195052	0.3765314150837361
CD226	536	12	0.022388059701492536	1.6775892818546532	25	0.04664179104477612	9.087028270303625	0.7387387387387389	5.481493767231099	1	16.246111319389378	0.38215128695065753
DTX3L	533	69	0.1294559099437148	14.482795809898763	3	0.005628517823639775	0.21725639464527044	0.2868741542625169	1.5169561921265087	1	16.217008396670543	0.38777115881757895
IFNGR2	475	41	0.0863157894736842	9.32328106281366	14	0.029473684210526315	5.374152432872286	0.2847380410022779	1.4982145124821233	1	16.19564800816807	0.3933910306845004
BTN3A2	278	13	0.046762589928057555	4.59275842804653	12	0.04316546762589928	8.335218105696823	0.4610951008645533	3.0455236278211952	1	15.973500161564548	0.39901090255142185
HLA-DPB1	515	15	0.02912621359223301	2.4834656676555684	31	0.06019417475728155	12.017946542863303	0.2788539144471348	1.4465887785211935	1	15.948000989040064	0.4046307744183433
TNFSF13B	1028	54	0.05252918287937743	5.282437108787377	32	0.0311284046692607	5.73201201915361	0.6592126717912882	4.783753578145662	1	15.798202706086649	0.41025064628526475
SECTM1	246	24	0.0975609756097561	10.668193943691822	3	0.012195121951219513	1.6373888550647526	0.5104477611940299	3.478530513134819	1	15.784113311891394	0.4158705181521861
TLR8	1307	61	0.046671767406273906	4.581896146360606	31	0.023718439173680182	4.1294892651680195	0.9125364431486881	7.006347790475362	1	15.717733202003988	0.4214903900191076
TRAT1	802	49	0.06109725685785536	6.307170085061369	15	0.018703241895261846	3.044873181707788	0.8371040723981902	6.344524583936134	1	15.696567850705291	0.427110261886029
IL10RA	953	49	0.05141657922350472	5.149370837585748	29	0.030430220356768102	5.58101857014059	0.6782993364463014	4.951214808363412	1	15.68160421608975	0.4327301337529505
IL10RB	489	39	0.07975460122699386	8.538569588938254	16	0.032719836400818	6.076184412770871	0.234375	1.0563428205868477	1	15.671096822295972	0.43835000561987186
IFNA2	417	47	0.11270983213429256	12.479981852214712	10	0.023980815347721823	4.186232280942678	0.0	-1.0	1	15.66621413315739	0.44396987748679334
HLA-A	758	48	0.0633245382585752	6.57355068640683	30	0.0395778364116095	7.559335862083499	0.2842737609954945	1.4941410453517083	1	15.627027593842037	0.44958974935371476
MPEG1	668	22	0.03293413173652695	2.938888823806147	22	0.03293413173652695	6.122529183438345	0.8600105652403592	6.545499952899625	1	15.606917960144118	0.45520962122063624
SLAMF7	561	22	0.0392156862745098	3.6901563891310265	20	0.035650623885918005	6.710013765251684	0.7050423917893798	5.185851138412675	1	15.586021292795385	0.4608294930875576
HLA-DMA	542	25	0.046125461254612546	4.516558483525885	26	0.04797047970479705	9.374378300734415	0.3002780352177943	1.63455821610682	1	15.525495000367119	0.4664493649544791
OR12D2	100	1	0.01	0.19598987922841185	8	0.08	16.301270889224778	0.0	-1.0	1	15.49726076845319	0.47206923682140045
LGALS9	864	73	0.08449074074074074	9.105007081443757	18	0.020833333333333332	3.5055392940689516	0.438871473354232	2.850539534474014	1	15.461085909986723	0.47768910868832193
CLEC4C	376	18	0.047872340425531915	4.725483464391333	10	0.026595744680851064	4.75175229030079	0.7936507936507937	5.963277276061285	1	15.440513030753408	0.48330898055524335
SP140	591	39	0.06598984771573604	6.892318999984444	14	0.023688663282571912	4.123049755692616	0.5764966740576496	4.05802579964008	1	15.07339455531714	0.48892885242216483
SHISA5	261	31	0.11877394636015326	13.205243776276156	2	0.007662835249042145	0.6572098552897295	0.25039246467817894	1.1968757208320817	1	15.059329352397967	0.4945487242890862
LILRB4	441	19	0.04308390022675737	4.152790862888849	18	0.04081632653061224	7.827179025114682	0.4624277456647398	3.057215892641487	1	15.037185780645018	0.5001685961560077
TRIM21	961	78	0.08116545265348596	8.707305991656204	21	0.021852237252861603	3.7258934530920964	0.4105461393596987	2.602020719752379	1	15.035220164500679	0.5057884680229291
FCRL3	390	5	0.01282051282051282	0.5333203579851433	18	0.046153846153846156	8.981502436091219	0.739856801909308	5.4913033509058184	1	15.006126144982181	0.5114083398898506
CD53	682	31	0.045454545454545456	4.436317632856417	20	0.02932551319648094	5.34210809722316	0.7087719298245614	5.218573095800414	1	14.99699882587999	0.5170282117567719
HLA-DOA	323	10	0.030959752321981424	2.702755044050811	18	0.05572755417956656	11.051968885682895	0.24848484848484848	1.1801388126140964	1	14.934862742347802	0.5226480836236934
