ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
ILMN_2058782	5.98e-12	4.71e-16	10.450593	25.88737	5.8582722	IFI27	interferon alpha inducible protein 27
ILMN_1742618	4.64e-09	7.30e-13	8.717159	18.89763	2.4627098	XAF1	XIAP associated factor 1
ILMN_1723912	5.50e-09	1.35e-12	8.573755	18.31115	3.7255724	IFI44L	interferon induced protein 44 like
ILMN_1848843	5.50e-09	1.86e-12	8.499466	18.0071	3.0164077		
ILMN_1657871	5.50e-09	2.17e-12	8.463376	17.85934	3.6752001	RSAD2	radical S-adenosyl methionine domain containing 2
ILMN_1662358	1.52e-08	7.17e-12	8.18438	16.7163	2.4848255	MX1	MX dynamin like GTPase 1
ILMN_1745471	1.93e-08	1.06e-11	8.09246	16.33956	0.8671108	IRF9	interferon regulatory factor 9
ILMN_1674811	1.99e-08	1.28e-11	8.049009	16.16147	2.8369902	OASL	2'-5'-oligoadenylate synthetase like
ILMN_1695404	1.99e-08	1.42e-11	8.025126	16.06359	2.7712864	LY6E	lymphocyte antigen 6 complex, locus E
ILMN_1799467	1.99e-08	1.57e-11	8.001869	15.96828	2.0977487	SAMD9L	sterile alpha motif domain containing 9 like
ILMN_1751886	2.02e-08	1.75e-11	7.976723	15.86522	1.1693033	REC8	REC8 meiotic recombination protein
ILMN_1760062	2.15e-08	2.09e-11	7.934554	15.69243	2.6886228	IFI44	interferon induced protein 44
ILMN_2388547	2.15e-08	2.20e-11	7.923202	15.64591	2.4228781	EPSTI1	epithelial stromal interaction 1 (breast)
ILMN_1787509	2.73e-08	3.22e-11	7.834086	15.28084	1.6860588	HELZ2	helicase with zinc finger 2
ILMN_1701789	2.73e-08	3.23e-11	7.83348	15.27835	2.711352	IFIT3	interferon induced protein with tetratricopeptide repeats 3
ILMN_1707695	4.75e-08	6.33e-11	7.676278	14.63477	2.7734988	IFIT1	interferon induced protein with tetratricopeptide repeats 1
ILMN_2349061	4.75e-08	6.36e-11	7.675048	14.62973	2.0476089	IRF7	interferon regulatory factor 7
ILMN_1699331	7.45e-08	1.09e-10	7.549636	14.11685	3.2374653	IFIT1	interferon induced protein with tetratricopeptide repeats 1
ILMN_1729749	7.45e-08	1.15e-10	7.53739	14.06681	2.4961243	HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5
ILMN_2347798	7.45e-08	1.17e-10	7.532046	14.04497	2.6156497	IFI6	interferon alpha inducible protein 6
ILMN_1667813	1.07e-07	1.77e-10	-7.435844	13.65205	-0.8885993		
ILMN_1691731	1.13e-07	1.95e-10	7.412776	13.55791	1.5062911	PARP14	poly(ADP-ribose) polymerase family member 14
ILMN_2139100	1.21e-07	2.18e-10	7.386363	13.45015	1.1544036	SHISA5	shisa family member 5
ILMN_1731224	1.47e-07	2.82e-10	7.326158	13.20466	1.4510897	PARP9	poly(ADP-ribose) polymerase family member 9
ILMN_2390162	1.47e-07	2.89e-10	7.320677	13.18232	0.9972599	PHF11	PHD finger protein 11
ILMN_1798181	1.78e-07	3.65e-10	7.265878	12.95909	1.8645628		
ILMN_1745397	1.82e-07	3.88e-10	7.251893	12.90214	2.6637821	OAS3	2'-5'-oligoadenylate synthetase 3
ILMN_1776723	2.07e-07	4.56e-10	7.213631	12.74643	1.0988429	PHF11	PHD finger protein 11
ILMN_1672687	2.08e-07	4.81e-10	-7.201201	12.69587	-1.3164411		
ILMN_1731418	2.08e-07	4.91e-10	7.196127	12.67523	1.032186	SP110	SP110 nuclear body protein
ILMN_2320964	2.09e-07	5.11e-10	7.187036	12.63826	0.9701664	ADAR	adenosine deaminase, RNA specific
ILMN_1779252	2.14e-07	5.45e-10	7.171818	12.57638	1.4134164	TRIM22	tripartite motif containing 22
